"goal","dimension","region_id","score","old_score","change"
"CW","pressures",248400,10.77,2.22,8.55
"CW","pressures",248500,1.62,0.76,0.86
"CW","pressures",248600,4.38,0.35,4.03
"CW","pressures",258410,5.75,2.6,3.15
"CW","pressures",258420,2.05,0.79,1.26
"CW","pressures",258431,2.39,0.04,2.35
"CW","pressures",258432,3.67,0.89,2.78
"CW","pressures",258441,3.67,1.31,2.36
"CW","pressures",258442,2.43,1.51,0.92
"CW","pressures",258510,13.98,0.55,13.43
"CW","pressures",258520,4.72,0.24,4.48
"CW","pressures",258600,8.24,0.5,7.74
"CW","pressures",258700,15.34,1.54,13.8
"CW","pressures",288100,1.65,0.98,0.67
"CW","pressures",288200,2.42,0.8,1.62
"CW","pressures",288300,2.29,1.58,0.71
"CW","resilience",248100,100,100,0
"CW","resilience",248200,100,100,0
"CW","resilience",248300,100,100,0
"CW","resilience",248400,100,100,0
"CW","resilience",248500,100,100,0
"CW","resilience",248600,100,100,0
"CW","resilience",258410,100,100,0
"CW","resilience",258420,100,100,0
"CW","resilience",258431,100,100,0
"CW","resilience",258432,100,100,0
"CW","resilience",258441,100,100,0
"CW","resilience",258442,100,100,0
"CW","resilience",258510,100,100,0
"CW","resilience",258520,100,100,0
"CW","resilience",258600,100,100,0
"CW","resilience",258700,100,100,0
"CW","resilience",288100,100,100,0
"CW","resilience",288200,100,100,0
"CW","resilience",288300,100,100,0
"CW","score",0,99.27,100,-0.730000000000004
"CW","score",248100,99.39,100,-0.609999999999999
"CW","score",248200,99.43,100,-0.569999999999993
"CW","score",248300,98.49,100,-1.51000000000001
"CW","score",248400,98.39,100,-1.61
"CW","score",248500,99.44,100,-0.560000000000002
"CW","score",248600,99.35,100,-0.650000000000006
"CW","score",258410,99.44,100,-0.560000000000002
"CW","score",258420,99.44,100,-0.560000000000002
"CW","score",258431,99.44,100,-0.560000000000002
"CW","score",258432,99.44,100,-0.560000000000002
"CW","score",258441,99.3,100,-0.700000000000003
"CW","score",258442,99.37,100,-0.629999999999995
"CW","score",258510,95.5,100,-4.5
"CW","score",258520,99.39,100,-0.609999999999999
"CW","score",258600,97.07,100,-2.93000000000001
"CW","score",258700,95.75,100,-4.25
"CW","score",288100,99.44,100,-0.560000000000002
"CW","score",288200,99.41,100,-0.590000000000003
"CW","score",288300,99.29,99.93,-0.640000000000001
"CW","status",0,98.54,99.99,-1.44999999999999
"CW","status",248100,98.79,100,-1.20999999999999
"CW","status",248200,98.85,100,-1.15000000000001
"CW","status",248300,96.98,100,-3.02
"CW","status",248400,96.78,100,-3.22
"CW","status",248500,98.88,100,-1.12
"CW","status",248600,98.69,100,-1.31
"CW","status",258410,98.87,100,-1.13
"CW","status",258420,98.88,100,-1.12
"CW","status",258431,98.88,100,-1.12
"CW","status",258432,98.88,100,-1.12
"CW","status",258441,98.61,100,-1.39
"CW","status",258442,98.75,100,-1.25
"CW","status",258510,91,100,-9
"CW","status",258520,98.77,100,-1.23
"CW","status",258600,94.15,100,-5.84999999999999
"CW","status",258700,91.51,100,-8.48999999999999
"CW","status",288100,98.88,100,-1.12
"CW","status",288200,98.82,100,-1.18000000000001
"CW","status",288300,98.58,99.87,-1.29000000000001
"CW","trend",248100,0,0,0
"CW","trend",248200,0,0,0
"CW","trend",248300,0,0,0
"CW","trend",248400,0,0,0
"CW","trend",248500,0,0,0
"CW","trend",248600,0,0,0
"CW","trend",258410,0,0,0
"CW","trend",258420,0,0,0
"CW","trend",258431,0,0,0
"CW","trend",258432,0,0,0
"CW","trend",258441,0,0,0
"CW","trend",258442,0,0,0
"CW","trend",258510,0,0,0
"CW","trend",258520,0,0,0
"CW","trend",258600,0,0,0
"CW","trend",258700,0,0,0
"CW","trend",288100,0,0,0
"CW","trend",288200,0,0,0
"CW","trend",288300,0,0,0
"ECO","future",0,87.37,87.3,0.0700000000000074
"ECO","future",248100,100,100,0
"ECO","future",248200,100,100,0
"ECO","future",248300,100,100,0
"ECO","future",248400,100,100,0
"ECO","future",248500,29.94,29.74,0.200000000000003
"ECO","future",248600,100,100,0
"ECO","future",258410,79.86,79.61,0.25
"ECO","future",258420,70.78,70.53,0.25
"ECO","future",258431,100,100,0
"ECO","future",258432,0,0,0
"ECO","future",258441,NA,NA,NA
"ECO","future",258442,100,100,0
"ECO","future",258510,100,100,0
"ECO","future",258520,100,100,0
"ECO","future",258600,100,100,0
"ECO","future",258700,100,100,0
"ECO","future",288100,100,100,0
"ECO","future",288200,100,100,0
"ECO","future",288300,100,100,0
"ECO","pressures",248100,10.77,12.48,-1.71
"ECO","pressures",248200,9.56,10.47,-0.91
"ECO","pressures",248300,10.89,11.15,-0.26
"ECO","pressures",248400,6.86,5.47,1.39
"ECO","pressures",248500,2.54,5.4,-2.86
"ECO","pressures",248600,4.43,5.46,-1.03
"ECO","pressures",258410,5.35,6.87,-1.52
"ECO","pressures",258420,3.59,5.4,-1.81
"ECO","pressures",258431,3.53,3.89,-0.36
"ECO","pressures",258432,4.13,4.3,-0.17
"ECO","pressures",258441,4.29,4.6,-0.31
"ECO","pressures",258442,3.74,4.78,-1.04
"ECO","pressures",258510,7.64,5.21,2.43
"ECO","pressures",258520,4.57,4.39,0.180000000000001
"ECO","pressures",258600,5.48,5.05,0.430000000000001
"ECO","pressures",258700,7.83,5.47,2.36
"ECO","pressures",288100,4.44,7.19,-2.75
"ECO","pressures",288200,3.67,4.78,-1.11
"ECO","pressures",288300,3.69,5.31,-1.62
"ECO","resilience",248100,92.86,92.86,0
"ECO","resilience",248200,92.86,92.86,0
"ECO","resilience",248300,92.86,92.86,0
"ECO","resilience",248400,92.86,92.86,0
"ECO","resilience",248500,92.86,92.86,0
"ECO","resilience",248600,92.86,92.86,0
"ECO","resilience",258410,92.86,92.86,0
"ECO","resilience",258420,92.86,92.86,0
"ECO","resilience",258431,92.86,92.86,0
"ECO","resilience",258432,92.86,92.86,0
"ECO","resilience",258441,92.86,92.86,0
"ECO","resilience",258442,92.86,92.86,0
"ECO","resilience",258510,92.86,92.86,0
"ECO","resilience",258520,92.86,92.86,0
"ECO","resilience",258600,92.86,92.86,0
"ECO","resilience",258700,92.86,92.86,0
"ECO","resilience",288100,92.86,92.86,0
"ECO","resilience",288200,92.86,92.86,0
"ECO","resilience",288300,92.86,92.86,0
"ECO","score",0,82.73,82.7,0.0300000000000011
"ECO","score",248100,96.32,96.32,0
"ECO","score",248200,92.55,92.55,0
"ECO","score",248300,99.76,99.76,0
"ECO","score",248400,100,100,0
"ECO","score",248500,25.66,25.56,0.100000000000001
"ECO","score",248600,100,100,0
"ECO","score",258410,65.3,65.17,0.129999999999995
"ECO","score",258420,56.18,56.06,0.119999999999997
"ECO","score",258431,100,100,0
"ECO","score",258432,0,0,0
"ECO","score",258441,NA,NA,NA
"ECO","score",258442,100,100,0
"ECO","score",258510,78.3,78.3,0
"ECO","score",258520,100,100,0
"ECO","score",258600,83.56,83.56,0
"ECO","score",258700,98.72,98.72,0
"ECO","score",288100,94.84,94.84,0
"ECO","score",288200,99.55,99.55,0
"ECO","score",288300,100,100,0
"ECO","status",0,78.09,78.09,0
"ECO","status",248100,92.64,92.64,0
"ECO","status",248200,85.1,85.1,0
"ECO","status",248300,99.53,99.53,0
"ECO","status",248400,100,100,0
"ECO","status",248500,21.38,21.38,0
"ECO","status",248600,100,100,0
"ECO","status",258410,50.73,50.73,0
"ECO","status",258420,41.58,41.58,0
"ECO","status",258431,100,100,0
"ECO","status",258432,0,0,0
"ECO","status",258441,NA,NA,NA
