country,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Brunei,247,-0.27,1.53,-0.28,-0.12,0.05,0,0,1.21,-0.12,-0.12,0.38,0.06,0.21,-0.65,-0.35,-0.05,-0.09,-4.82
Bouvet Island,105,-0.27,NA,0.2,-1.66,-3.52,NA,NA,0,NA,NA,-0.02,-0.02,NA,1.34,0.67,0,-0.32,NA
Philippines,15,-0.29,-0.12,-0.19,0.22,0.64,0.19,0.14,0.44,-1.72,-1.72,0.06,-0,0.14,-0.54,0.87,2.27,-1.28,-1.67
Peru,138,-0.29,-1.66,-0.2,-0.01,0.18,0.01,0.04,0.08,-0.41,-0.41,0.48,0.5,0.04,-0.12,-0.04,0.04,0.11,-1.57
East Timor,231,-0.29,-0.33,-0.1,0.21,0.51,0.01,0.01,0.26,NA,NA,-0.09,-0.09,-0,-0.92,-0.37,0.17,0.25,-2.55
Slovenia,188,-0.3,0.5,-0.51,-0.26,-0.02,-0,0,-0.09,-2.43,-2.43,-0.74,0.01,0.2,0.43,0.65,0.88,-2.65,1.31
Micronesia,9,-0.31,1.61,-0.22,-0.04,0.15,0.01,0.04,1.94,NA,NA,0.01,0.01,0,-0.86,-0.43,0,0.39,-6.32
Mauritius,37,-0.32,0.12,-0.24,-0.37,-0.5,0,0,0.63,-1.45,-1.45,-0.13,-0.55,0.03,0.01,-0.02,-0.04,0.05,-1.63
Latvia,69,-0.33,0.75,0.24,0.1,-0.04,0,0,0.15,0.18,0.18,-3.31,-3.31,0,-0.05,-0.02,0,0.01,-1.14
Algeria,84,-0.34,-0.01,-0.5,0.03,0.55,0.02,0.02,-0.18,-1.56,-1.56,-0.17,-0.24,1.18,-0.24,0.01,0.25,-1.12,NA
New Zealand,162,-0.34,-0.03,0.08,0.04,-0.01,0,-0.02,-0.52,1.52,1.52,-0.28,-0.51,0.01,0.04,0.05,0.06,-0.42,-3.47
Western Sahara,63,-0.35,-2.12,-0.22,-0.08,0.06,0,-0,0.06,NA,NA,-0.1,-0.1,0,-0.66,-0.33,0,-0.26,NA
Monaco,185,-0.35,0.07,-0.66,-0.33,-0,-0,-0,-0.03,NA,NA,-0.13,-0.13,0,0.01,-0.64,-1.29,NA,-1.73
Curacao,244,-0.35,-0.8,-0.22,-0.11,0,-0,-0,0.25,-1.82,-1.82,0.15,0.15,NA,-0.51,-0.27,-0.04,0.53,-1.4
Syria,77,-0.37,0.64,-0.46,-0.28,-0.09,-0.09,-0,0.38,0.46,0.46,-0.78,-0.78,0,0.47,0.23,0,-3.6,-0.71
Estonia,70,-0.38,0.82,0.24,0.06,-0.12,0,0,0.11,1.46,1.46,-2.81,-2.98,0.24,-0.05,-0.02,0,-0.01,-3.22
Singapore,208,-0.38,-0.63,-0.39,0.02,0.42,0.01,0,0.02,-0.95,-0.95,-0.18,-0.33,0.16,-0.89,-0.45,0,2.29,-3.74
Crozet Islands,91,-0.39,NA,0.13,0.06,0,0,NA,0.14,NA,NA,-0.93,-0.93,NA,0.63,0.32,0,-1.95,NA
Fiji,18,-0.4,-2.51,-0.28,-0.14,-0,0,0.01,0.21,-0.26,-0.26,-0.27,-0.28,-0,-0.49,-0.24,0.01,2,-2.77
United Kingdom,180,-0.41,-0.58,0.17,0.18,0.19,-0,-0,0.03,0.24,0.24,-0.29,-0.1,-0.06,-0.1,-0.05,0,-0.36,-3.47
Samoa,152,-0.42,1.5,-0.29,-0.14,0,0,0,0.51,NA,NA,-0.35,-0.36,0,-0.96,-0.48,0,-0.21,-4.54
Australia,16,-0.43,0.15,-0.35,-0.13,0.08,0.01,0.01,0.51,-1.72,-1.72,0.09,-0.59,0.01,-0.03,-0.02,0,-2.11,NA
South Korea,20,-0.45,0.74,-0.5,-0.28,-0.05,0,0,-0.14,-2.22,-2.22,0.2,0.62,0.03,-0,0.04,0.08,1.7,-5
Israel,79,-0.46,0.92,-0.45,-0.21,0.03,0.06,0.03,0.2,-0.08,-0.08,-0.07,0.52,1.58,-0.28,0.79,1.85,-4.66,-2.12
Niue,154,-0.47,NA,-0.23,-0.18,-0.12,0.04,NA,0.14,NA,NA,-0.09,-0.09,0,-1.03,-0.51,0,-0.66,NA
Dominican Republic,115,-0.49,-1.92,-0.27,-0.12,0.03,0.02,0.03,0.36,-1.42,-1.42,-0.09,-0.09,-0.03,-0.32,-0.16,0,-2.51,0.88
Line Islands (Kiribati),148,-0.49,0,-0.33,-0.2,-0.07,0,NA,0.07,NA,NA,0.03,0.03,0,-0.98,-0.49,0,-2.85,NA
Dominica,123,-0.5,-1.44,-0.22,-0.13,-0.04,0,0,0.25,NA,NA,0.02,0.02,0,-0.66,-0.33,0,-0,-3.85
Cuba,112,-0.54,0.15,-0.45,-0.2,0.05,-0,0,0.4,-1.66,-1.66,0.02,0.6,0,-0.44,-0.24,-0.03,-3.22,-1.26
Honduras,133,-0.57,-1.02,-0.51,-0.26,-0.02,0,0,0.26,-1.49,-1.49,-0.01,-0.66,0.09,-0.44,-0.22,0,0.1,-2.45
United States,163,-0.57,-0.65,-0.17,-0,0.16,0.31,0.01,-0.06,-0.57,-0.57,-0.39,-0.46,0.03,-0.1,-0.06,-0.02,-0.33,-3.87
Sweden,222,-0.57,-0.35,0.17,-0.01,-0.19,-0,-0,-0.04,-0.22,-0.22,-2.46,-2.46,-2.23,-0.03,0.33,0.7,-0.01,-2.91
Lithuania,189,-0.6,-0.62,0.2,0.2,0.2,0,-0,0.27,-0.74,-0.74,-3.61,-3.61,0,-0.05,-0.02,0,-0.08,-1.43
Canada,218,-0.6,-1.61,-0.09,0.1,0.28,-0.44,-0,0.14,-0.56,-0.56,-0.02,-0.02,0.09,-0.01,0.38,0.76,0.34,-4.3
British Virgin Islands,117,-0.69,-0.25,-0.18,-0.18,-0.19,-0.01,-0.08,-0.03,NA,NA,0.04,0.04,NA,-0.46,-0.23,0,NA,-4.77
Solomon Islands,7,-0.71,1.69,-0.2,-0.18,-0.16,0,0.04,0.18,-3.06,-3.06,-0.1,-0.1,-0,-0.68,-0.34,0,-0.22,-5.11
Trinidad and Tobago,126,-0.72,-0.8,-0.48,-0.24,0,-0.01,0,0.08,-1.81,-1.81,0.05,0.05,0,-0.37,-0.18,0,0.37,-4.71
Barbados,124,-0.73,-0.44,-0.09,-0.02,0.05,0,0,0.61,-1.82,-1.82,-0.01,-0.01,0,-0.48,-0.24,0,-6.86,-2.21
Sint Maarten,220,-0.74,-0.53,-0.44,-0.24,-0.03,0,0,0.04,-1.43,-1.43,0.15,0.15,0,-0.54,-0.61,-0.68,NA,-4.01
Marshall Islands,11,-0.75,0,-0.23,-0.12,0,-0,0,-0.03,NA,NA,0.01,0,0,-0.95,-0.54,-0.12,-1.32,-4.75
New Caledonia,5,-0.77,0.01,-0.29,-0.17,-0.04,0,0,0,NA,NA,-0.32,-0.29,-0,-0.49,-0.09,0.31,-2.25,-4.18
Papua New Guinea,17,-0.82,0.03,-0.28,-0.32,-0.35,-0.01,-0,0.05,-2.09,-2.09,-0,-0.01,0,-0.69,-0.34,-0,-0.2,-5.27
Palau,8,-0.87,-4.4,-0.21,-0.12,-0.04,0,0,0.54,NA,NA,-0.02,-0.01,-0,-0.8,-0.4,0,-0.52,-2.89
American Samoa,151,-0.88,0.37,-0.29,-0.14,-0,-0,0,-0.13,NA,NA,-0.23,-0.23,0,-0.9,-0.45,-0,-0.32,-6.99
Bermuda,108,-0.89,-0.15,-0.04,0.16,0.36,-0,0,0.04,-4.06,-4.06,0.06,0.06,0,-0.26,-0.13,0,NA,-3.98
Jordan,215,-0.89,0.77,-0.37,-0.17,0.03,-0.04,0.02,-0.16,-1.54,-1.54,0.03,0.03,0,-0.54,0.84,2.22,-9.62,-3.23
Finland,174,-0.9,-1.17,-0.01,-0.01,-0.02,-0,0,-0.05,0.06,0.06,-2.03,-1.26,0.01,-0.05,0.05,0.15,-2.18,-4.48
Malaysia,206,-0.94,0.32,-0.25,0.12,0.49,-0.01,-0.01,0.07,-3.22,-3.22,0.03,-0.08,-0.1,-0.44,0.68,1.81,-1.73,-5.57
Libya,67,-0.96,-1.87,-0.55,-0.26,0.03,-0.09,-0.06,0.15,-4.81,-4.81,-0.05,-0.05,-0,0.11,0.06,0,0.22,-2.9
Gilbert Islands (Kiribati),212,-0.97,0.09,-0.24,-0.17,-0.09,0,0.03,0.03,NA,NA,-0.01,0.01,-0.05,-0.83,-0.41,0,-4.27,-4.08
Yemen,47,-0.98,-1,-0.44,-0.22,-0,-0.07,-0.06,-0.09,-1.97,-1.97,-0.38,-0.38,-0,-0.74,-0.07,0.61,-0.35,-5.62
Ukraine,75,-1,-0.05,-0.53,-0.14,0.26,-0,-0,0.07,-3.34,-3.34,-0.08,-0.01,-0.01,0,0,0,-0.08,-6.4
Vanuatu,6,-1.14,-3.29,-0.29,-0.14,0,-0.03,-0.01,-0.11,-3.82,-3.82,-0.41,-0.41,-0,-0.92,-0.46,0,1.81,-4.91
