"component_id","radical_include","component_label","goal","dimension","scenario","region_id","value","units","url","source","extra","location"
"hd_subtidal_sb","yes","Softbottom destruction","pressures","pressures",2016,NA,NA,NA,NA,"Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008). A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952. [https://doi.org/10.1126/science.1149345].; Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/].","Demersal destructive commercial fishing practices in softbottom habitat as a proxy for soft bottom habitat destruction","layers"
"ico_spp_iucn_status","no","IUCN extinction risk","ICO","status",2016,NA,NA,NA,NA,"IUCN. (2015). Red List of Threatened Species. [http://www.iucnredlist.org/].; Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees & Froese, R. (2015). AquaMaps: Predicted Range Maps for Aquatic Species. Vol. Version 08/2015. [www.aquamaps.org].","IUCN extinction risk category for iconic species located within each region","layers"
"le_gdp","no","GDP","LE","status",2016,NA,NA,"2012 USD",NA,"The World Bank [http://data.worldbank.org/indicator/NY.GDP.MKTP.CD].","Gross Domestic Product (GDP)","layers"
"le_gdp_pc_ppp","no","GDP per capita PPP","LE","status",2016,NA,NA,"USD",NA,"The World Bank [http://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD].","Gross domestic product per person at purchasing power parity","layers"
"le_jobs_cur_adj_value","no","Current jobs adjusted","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_jobs_cur_base_value","no","Current jobs base","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_jobs_ref_adj_value","no","Reference jobs adjusted","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_jobs_ref_base_value","no","Reference jobs base","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_jobs_sector_year","no","Jobs","LE","status",2016,NA,NA,"number of jobs",NA,"Modeled LE data","Modeled LE data","layers"
"le_popn","no","Total population","ECO","status",2016,NA,NA,"number of people",NA,"The World Bank [http://data.worldbank.org/indicator/SP.POP.TOTL].","Population of the OHI region","layers"
"le_popn","no","Total population","LIV","status",2016,NA,NA,"number of people",NA,"The World Bank [http://data.worldbank.org/indicator/SP.POP.TOTL].","Population of the OHI region","layers"
"le_rev_cur_adj_value","no","Current revenue adjusted","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_rev_cur_base_value","no","Current revenue base","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_rev_ref_adj_value","no","Reference revenue adjust","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_rev_ref_base_value","no","Reference revenue base","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_rev_sector_year","no","Revenue","LE","status",2016,NA,NA,"2010 USD",NA,"Modeled LE data","Modeled LE data","layers"
"le_revenue_adj","no","Revenue adjusted","LE","status",2016,NA,NA,"USD",NA,"Modeled LE data","Modeled LE data","layers"
"le_sector_weight","no","Jobs weighting","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Proportion of jobs within each sector","layers"
"le_sector_weight","no","Jobs weighting","pressures","pressures",2016,NA,NA,NA,NA,"Modeled LE data","Proportion of jobs within each sector","layers"
"le_unemployment","no","Unemployment","LE","status",2016,NA,NA,NA,NA,"The World Bank [http://data.worldbank.org/indicator/SL.UEM.TOTL.ZS].","Modeled LE data","layers"
"le_wage_cur_adj_value","no","Current wages adjusted","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_wage_cur_base_value","no","Current wages base","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_wage_ref_adj_value","no","Reference wages adjusted","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_wage_ref_base_value","no","Reference wages base","LE","status",2016,NA,NA,NA,NA,"Modeled LE data","Modeled LE data","layers"
"le_wage_sector_year","no","Wages","LE","status",2016,NA,NA,"2010 USD",NA,"Modeled LE data","Modeled LE data","layers"
"le_workforcesize_adj","no","Workforce size","LE","status",2016,NA,NA,"number of jobs",NA,"Modeled LE data","Modeled LE data","layers"
"li_gci","no","Global competitiveness","resilience","resilience",2016,NA,NA,NA,NA,"World Economic Forum [http://reports.weforum.org/travel-and-tourism-competitiveness-report-2015/index-results-the-travel-tourism-competitiveness-index-ranking-2015/].","Global Competitiveness Index (GCI) scores from the World Economic Forum","layers"
"li_sector_evenness","no","Sector evenness","resilience","resilience",2016,NA,NA,NA,NA,"Internal calculation","Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector","layers"
"lsp_prot_area_inland1km","yes","Inland protected areas","LSP","status",2016,NA,NA,"km2",NA,"United Nations - World Conservation Monitoring Centre's World Database on Protected Areas (WDPA) [http://www.protectedplanet.net].","Protected areas located 1 km inland","layers"
"lsp_prot_area_offshore3nm","yes","Offshore protected areas","LSP","status",2016,NA,NA,"km2",NA,"United Nations - World Conservation Monitoring Centre's World Database on Protected Areas (WDPA) [http://www.protectedplanet.net].","Protected areas located 3nm offshore","layers"
"mar_coastalpopn_inland25mi","no","Inland coastal population","MAR","status",2016,NA,NA,"number of people",NA,"CIESIN & CIAT (Center for International Earth Science Information Network /Columbia University & Centro Internacional de Agricultura Tropical) (2005). Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates. Palisades, NY. NASA Socioeconomic Data and Applications Center (SEDAC). [http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates].","Total coastal population within 25 miles of coast.","layers"
"mar_harvest_tonnes","no","Mariculture harvest","MAR","status",2016,NA,NA,"tonnes",NA,"FAO global aquaculture production [http://www.fao.org/fishery/statistics/global-aquaculture-production/en].","Tonnes of mariculture harvest","layers"
"mar_sustainability_score","no","Mariculture sustain.","MAR","status",2016,NA,NA,NA,NA,"Trujillo P. (2008). Using a mariculture sustainability index to rank countries' performances. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countries' Exclusive Economic Zones, Alder J, Pauly D, editors. Fisheries Centre Research Report, vol. 16(7) p. 28-56.","Mariculture sustainability from the Mariculture Sustainability Index (MSI).","layers"
"np_blast","yes","Blast (dynamite) fishing","NP","status",2016,NA,NA,NA,NA,"Reefs at Risk Revisited [http://www.wri.org/publication/reefs-at-risk-revisited].","Destructive artisanal blast fishing","layers"
"np_cyanide","yes","Poison fishing","NP","status",2016,NA,NA,NA,NA,"Reefs at Risk Revisited [http://www.wri.org/publication/reefs-at-risk-revisited].","Destructive artisanal poison (cyanide) fishing","layers"
"np_harvest_product_weight","yes","Relative harvest value","NP","status",2016,NA,NA,NA,NA,"FAO fisheries statistics [http://www.fao.org/fishery/statistics/global-commodities-production/en].","Value of harvest of each product relative to total harvest of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish). Used to weight contribution of each product to final score.","layers"
"np_harvest_tonnes","yes","Natural product harvest","NP","status",2016,NA,NA,"tonnes",NA,"FAO fisheries statistics [http://www.fao.org/fishery/statistics/global-commodities-production/en].","Yield in metric tonnes of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO","layers"
"np_harvest_tonnes_relative","yes","Relative harvest tonnes","NP","status",2016,NA,NA,NA,NA,"FAO fisheries statistics [http://www.fao.org/fishery/statistics/global-commodities-production/en].","Tonnes of harvest of each product relative to total harvest of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish). Used to weight contribution of each product to final score.","layers"
"po_chemicals","yes","Chemical pollution, EEZ","pressures","pressures",2016,NA,NA,NA,NA,"FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].; Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html].","Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use","layers"
"po_chemicals_3nm","yes","Chemical pollution, coast","CW","status",2016,NA,NA,NA,NA,"FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].; Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html].","Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use","layers"
"po_chemicals_3nm","yes","Chemical pollution, coast","pressures","pressures",2016,NA,NA,NA,NA,"FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].; Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html].","Modeled chemical pollution from commercial shipping traffic, ports and harbors, and pesticide use","layers"
"po_nutrients","yes","Nutrient pollution, EEZ","pressures","pressures",2016,NA,NA,NA,NA,"FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].; Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html].","Modeled data based on fertilizer consumption from the Food and Agricultural Organization","layers"
"po_nutrients_3nm","yes","Nutrient pollution, coast","CW","status",2016,NA,NA,NA,NA,"FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].; Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html].","Modeled data based on fertilizer consumption from the Food and Agricultural Organization","layers"
"po_nutrients_3nm","yes","Nutrient pollution, coast","pressures","pressures",2016,NA,NA,NA,NA,"FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].; Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html].","Modeled data based on fertilizer consumption from the Food and Agricultural Organization","layers"
"po_pathogens","yes","Pathogen pollution","CW","status",2016,NA,NA,NA,NA,"World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP) [http://www.wssinfo.org/data-estimates/table].","Percent of population without access to improved sanitation facilities as a proxy for pathogen pollution","layers"
"po_pathogens","yes","Pathogen pollution","pressures","pressures",2016,NA,NA,NA,NA,"World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP) [http://www.wssinfo.org/data-estimates/table].","Percent of population without access to improved sanitation facilities as a proxy for pathogen pollution","layers"
"po_trash","yes","Marine plastics","CW","status",2016,NA,NA,NA,NA,"Eriksen M., Lebreton, L. C. M., Carson, H. S., Thiel, M., Moore, C. J. & Borerro, J. C.  (2014). Plastic pollution in the world's oceans: more than 5 trillion plastic pieces weighing over 250,000 tons afloat at sea. PLoS ONE 9:e111913. [http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111913]. ","Global marine plastics","layers"
"po_trash","yes","Marine plastics","pressures","pressures",2016,NA,NA,NA,NA,"Eriksen M., Lebreton, L. C. M., Carson, H. S., Thiel, M., Moore, C. J. & Borerro, J. C.  (2014). Plastic pollution in the world's oceans: more than 5 trillion plastic pieces weighing over 250,000 tons afloat at sea. PLoS ONE 9:e111913. [http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111913]. ","Global marine plastics","layers"
"po_water","yes","Water pollution manage","resilience","resilience",2016,NA,NA,NA,NA,"Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].","Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: tourism related questions","layers"
"res_spi","yes","Social Progress Index","resilience","resilience",2016,NA,NA,NA,NA,"Stern, S., A. Wares and T. Hellman. 2016. Social Progress Index: 2016 Methodological Report [http://www.socialprogressimperative.org/].","Social Progress Index scores","layers"
"rgn_area","no","EEZ area","spatial",NA,2016,NA,NA,"km2",NA,"VLIZ Maritime Boundaries Geodatabase, version 7 [http://www.marineregions.org/].","Area of Ocean Health Index regions modified from exclusive economic zones ","layers"
"rgn_area_inland1km","no","Inland area of regions","LSP","status",2016,NA,NA,"km2",NA,"NA","Inland area of OHI regions within 1km of shoreline","layers"
"rgn_area_offshore3nm","no","Offshore area of regions","LSP","status",2016,NA,NA,"km2",NA,"NA","Offshore area of OHI regions within 3nm of shoreline","layers"
"rgn_georegions","no","UN geopolitical regions","spatial",NA,2016,NA,NA,NA,NA,"UN geographical region and composition [http://unstats.un.org/unsd/methods/m49/m49regin.htm].","Lookup table of Ocean Health Index regions and UN geopolitical regions (3 levels), often used for gapfilling missing data","layers"
"rgn_global","no","OHI regions","spatial",NA,2016,NA,NA,NA,NA,"NA","Subset of regions that are not deleted or disputed ","layers"
"rgn_labels","no","Regions","spatial",NA,2016,NA,NA,NA,NA,"NA","Regions by type (eez, subocean, unclaimed)","layers"
"sp_alien","yes","Nonindigenous species","pressures","pressures",2016,NA,NA,NA,NA,"Molnar, J. L., Gamboa, R. L., Revenga C., Spalding, M. (2008). Assessing the global threat of invasive species to marine biodiversity. Frontiers in Ecology and the Environment 6(485). [doi:10.1890/070064](https://doi.org/10.1890/070064)","The number and type of invasive and harmful invasive species in each marine ecoregion","layers"
"sp_alien_species","yes","Control of alien species","resilience","resilience",2016,NA,NA,NA,NA,"Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].","Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: invasive species related questions","layers"
"sp_genetic","yes","Genetic escapes","pressures","pressures",2016,NA,NA,NA,NA,"Trujillo P. (2008). Using a mariculture sustainability index to rank countries' performances. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countries' Exclusive Economic Zones, Alder J, Pauly D, editors. Fisheries Centre Research Report, vol. 16(7) p. 28-56.","Introduced mariculture species (Mariculture Sustainability Index) as a proxy for genetic escapes ","layers"
"species_diversity_3nm","yes","Ecol. integrity, coast","resilience","resilience",2016,NA,NA,NA,NA,"Internal calculation","Marine species condition (results from species subgoal)  calculated within 3 nm of shoreline as a proxy for ecological integrity","layers"
"species_diversity_eez","yes","Ecol. integrity, EEZ","resilience","resilience",2016,NA,NA,NA,NA,"Internal calculation","Marine species condition (results from species subgoal) as a proxy for ecological integrity","layers"
"spp_status","no","Species condition","SPP","status",2016,NA,NA,NA,NA,"International Union for Conservation of Nature (IUCN) [http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme].; Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees & Froese, R. (2015). AquaMaps: Predicted Range Maps for Aquatic Species. Vol. Version 08/2015. [www.aquamaps.org].","Species condition based on average of IUCN threat categories","layers"
"spp_trend","no","Species condition trend","SPP","trend",2016,NA,NA,NA,NA,"International Union for Conservation of Nature (IUCN) [http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme].; Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees & Froese, R. (2015). AquaMaps: Predicted Range Maps for Aquatic Species. Vol. Version 08/2015. [www.aquamaps.org].","Species trends based on average of IUCN population trend data","layers"
"ss_spi","yes","Weak social progress","pressures","pressures",2016,NA,NA,NA,NA,"Stern, S., A. Wares and T. Hellman. 2016. Social Progress Index: 2016 Methodological Report [http://www.socialprogressimperative.org/].","Inverse of Social Progress Index scores","layers"
"ss_wgi","yes","Weakness of governance","pressures","pressures",2016,NA,NA,NA,NA,"Worldwide Governance Indicators (WGI) [http://info.worldbank.org/governance/wgi/index.asp].","Inverse of World Governance Indicators (WGI) six combined scores","layers"
"tr_jobs_pct_tourism","yes","Tourism employment","TR","status",2016,NA,NA,NA,NA,"World Travel and Tourism Council (WTTC) [http://www.wttc.org/research/economic-data-search-tool/].","Percent direct employment in tourism","layers"
"tr_sustainability","yes","Tourism sustainability","TR","status",2016,NA,NA,NA,NA,"World Economic Forum [http://reports.weforum.org/travel-and-tourism-competitiveness-report-2015/index-results-the-travel-tourism-competitiveness-index-ranking-2015/].","Tourism Competitiveness Index (TTCI)","layers"
"tr_travelwarnings","yes","Travel warnings","TR","status",2016,NA,NA,NA,NA,"U.S. Department of State [http://travel.state.gov/content/passports/english/alertswarnings.html].","Countries with US State Department travel warnings","layers"
"wgi_all","yes","Strength of governance","resilience","resilience",2016,NA,NA,NA,NA,"Worldwide Governance Indicators (WGI) [http://info.worldbank.org/governance/wgi/index.asp].","World Governance Indicators (WGI) six combined scores","layers"
