eez_nam,global_cumulative_impact_2013_all_layers.gri,artisanal_fishing,demersal_destructive_fishing,demersal_nondest_high_bycatch,demersal_nondest_low_bycatch,inorganic,invasives,night_lights,ocean_acidification,ocean_pollution,oil_rigs,pelagic_high_bycatch,pelagic_low_bycatch,plumes_fert,plumes_pest,population,shipping,slr,uv,sst
Anguilla,4.668202575,3.55E-05,0.009340056,0.007342854,0.003963708,0.000199266,0.000922106,0.000373457,1.220065646,0.354765067,0,0.000755383,0.001806844,0,0,0.001385793,0.216437656,0.010165773,0.734915473,2.106462524
Saint Kitts and Nevis,4.360148798,0.00322658,0.017504015,0.019840754,0.01157095,0.005011858,0.026395673,0.005419565,1.138998915,0.408346377,0,0.000404871,0.00266056,0.000247601,0.000177698,0.019981741,0.31707822,0.029886028,0.37930383,1.988317595
Antigua and Barbuda,4.591957714,0.000542846,0.017731721,0.027174399,0.014129208,0.000884459,0.012353473,0.000703528,1.201410893,0.300435147,0,0.000293824,0.005056258,1.63E-05,1.06E-05,0.002918484,0.183724231,0.024669289,0.693551573,2.107640981
Montserrat,4.414354991,0.000407075,0.085782388,0.100129945,0.081081458,0.001227992,0,0.000792184,1.110939597,0.366518857,0,0.000959304,0.011886038,0,0,0.007477577,0.317004541,0.012849858,0.377702821,1.945388503
Saint Lucia,4.644312911,0.000482314,0.031324676,0.049148694,0.01790441,0.013380596,0.011916006,0.003476117,1.173286739,0.385232814,0,0,0.007980761,0.001647194,0.000278196,0.01050204,0.23188859,0.01519436,0.562953638,2.13579078
Dominica,4.60783443,0.000307092,0.02096706,0.038073748,0.020717391,0.003255283,0.00263386,0.00124318,1.179924868,0.334528413,0,0.0003449,0.008251217,0.001537493,0.000244843,0.007369779,0.201598839,0.012937495,0.625277917,2.153351605
Barbados,4.420217195,4.97E-05,0.00083978,0.001338397,0.002646684,0.000978277,0.000221081,0.000265256,1.194984727,0.23658674,0,0.004423008,0.001229907,0.000377457,7.86E-05,0.000774735,0.140309482,0.000796241,0.670786252,2.163763131
Grenada,4.516529304,0.002394232,0.002772124,0.003298117,0.008150152,0.002959887,0.005916908,0.002204696,1.137147331,0.365810998,0,6.32E-05,0.001419097,0.000620697,0.000106253,0.010784294,0.262655529,0.025797493,0.607911741,2.080953045
Trinidad and Tobago,4.212404335,0.000480321,0.017803127,0.006357126,0.015448882,0.007381271,0.053728677,0.003197135,1.035947994,0.282613563,0.001569585,0.003638839,0.001069087,0.010842018,0.001252407,0.011950874,0.23275565,0.111962829,0.442651597,1.976284897
Saint Vincent and the Grenadines,4.549159116,0.000682034,0.008567029,0.007590642,0.004945955,0.002556096,0.001746725,0.001595213,1.15821562,0.343707143,0,0.000106007,0.002456577,0.000664291,0.000122655,0.007731711,0.217092872,0.027749516,0.640677395,2.126807738
Panama,3.740759424,0.006194569,0.06001639,0.006342723,0.079186161,0.008822484,0.012581829,0.000563181,0.992730475,0.280477112,0,0.001955489,0.004440471,0.00406173,0.002424151,0.014041423,0.19638154,0.045872339,0.630214856,1.401780699
Costa Rica,2.655829778,0.001071709,0.031985154,0.013920488,0.008124948,0.003785942,0.004941888,0.000426751,0.942864626,0.185111733,0,0.039240325,0.004293466,0.003109608,0.001934217,0.003638598,0.119299557,0.006495879,0.652497888,0.634079196
Nicaragua,3.857512094,0.002387521,0.089215552,0.067828513,0.019608671,0.014065003,0.025549068,0.000346362,0.977468934,0.233932271,0,0.005774121,0.007824896,0.01110255,0.005435625,0.010691899,0.187019317,0.311229383,0.3778075,1.517379226
Colombia,3.844725395,0.001225156,0.014165751,0.004884017,0.007806596,0.005562153,0.00762619,0.000439303,1.028189581,0.275141871,0,0.00016842,0.00078146,0.006229221,0.003033813,0.005076464,0.181653888,0.026308367,0.632676136,1.645798548
Honduras,4.083841011,0.002886146,0.031781624,0.018966193,0.004835623,0.009321166,0.008525262,0.000696286,1.086295433,0.305964048,0,0.002215199,0.000386393,0.007611935,0.003136641,0.009268834,0.22283705,0.146702747,0.479960533,1.745486331
El Salvador,3.739570523,0.00153522,0.04279115,0.048178052,0.02969219,0.013799672,0.014686266,0.000723278,0.951684525,0.228488643,0,0.025013252,0.031527822,0.012715193,0.004833,0.006055614,0.141525873,0.041249087,0.679496397,1.46859624
Mexico,3.3790813,0.000627994,0.051384261,0.027824493,0.037813094,0.006467416,0.005198344,0.000469439,1.023080899,0.25873113,0.000424828,0.017087593,0.00512543,0.005866427,0.00233504,0.004841311,0.166603439,0.054976936,0.599239058,1.113755953
Guatemala,3.475519062,0.000514966,0.040520192,0.018708936,0.012267171,0.017182192,0.014986559,0.000637937,0.950682675,0.27507832,0,0.028124734,0.010473741,0.013484288,0.005752464,0.005591856,0.159013456,0.045864249,0.730876828,1.149844816
Ecuador,3.018436222,0.000579074,0.0882856,0.021154726,0.091896921,0.006372573,0.009566694,0.000938952,0.781001872,0.151866024,0,0.002318133,0.007927068,0.007146662,0.003412532,0.008660761,0.098690392,0.026500807,0.600068282,1.114500047
Peru,2.638439121,0.000210849,0.053730511,0.019836063,0.113441075,0.006960323,0.004723069,0.000495754,0.955007467,0.173618873,0,0.003356244,0.0038752,0.003813662,0.001069438,0.003752993,0.106699704,0.012476402,0.680014538,0.49581827
Venezuela,4.35025365,0.001152976,0.043998207,0.01524828,0.040430976,0.014027164,0.024105165,0.002345037,1.079369293,0.314523397,1.13E-05,0.0002335,0.001716816,0.013223795,0.002325021,0.013220084,0.218491427,0.116503745,0.528627981,1.931363661
Guadeloupe and Martinique,4.511226515,0.001223074,0.019672756,0.028978558,0.014280791,0.004766384,0.004745264,0.002540495,1.197188694,0.301233354,0,0.001945544,0.006480962,2.78E-07,4.23E-08,0.008016619,0.192646819,0.013558328,0.605425972,2.112637534
Faeroe Islands,4.619531131,0.000197798,0.257580002,0.080167487,0.039839576,0.000431635,0.007029697,0.000327873,1.100448111,0.258365742,0,0,0.053667135,0,0,0.00307969,0.197833582,0.010229674,0.59719149,2.014447368
Iceland,4.426723425,0.00045082,0.239951039,0.142808833,0.119606781,0.000940755,0.007408382,0.000448256,0.966359407,0.216850136,0,0,0.034892112,0.001071349,1.23E-06,0.00361413,0.187461341,0.025320181,0.507845146,1.977494476
Jan Mayen,3.545819096,0,0.024305804,0.001642422,0.010100535,0,0,0,1.096226594,0.080270622,0,0,0.00223038,0,0,0,0.052138628,0.000771651,0.521302027,1.757431671
Greenland,2.770197163,0.00046255,0.089224595,0.019279178,0.020306426,0,0.004563176,4.71E-05,0.82233621,0.079906529,0,0,0.000700327,3.47E-06,2.20E-07,0.001528359,0.053989367,0.04278576,0.429746695,1.577852543
Pitcairn,2.658723969,0,0.000123864,0.000298177,0.000794189,0,0,0,1.236493122,0.06755543,0,0,0.001176989,0,0,7.49E-06,0.040679416,0.000144599,0.65934322,0.652127108
French Polynesia,3.131279446,0.000188054,0.00057495,0.000176704,0.000460389,2.48E-05,0.000138484,5.66E-05,1.218327151,0.062014824,0,0,0.000670276,8.63E-06,1.39E-06,0.00113081,0.03609482,0.004021655,0.655714461,1.151773213
Line Group,2.129121498,4.42E-05,0.000166918,0.000168558,0.001381307,0,8.19E-05,4.05E-06,1.032207791,0.065480139,0,8.37E-05,0.001997476,5.74E-06,1.01E-06,0.000250829,0.03554217,0.000247311,0.697879412,0.293596315
Jarvis Island,1.846877196,0,0.000294667,0.00040234,0.002202403,0,0,0,0.959211193,0.060051013,0,0,0.002325554,0,0,2.12E-06,0.031960181,6.12E-07,0.765985304,0.024441808
Palmyra Atoll,2.5006194,0,0.001017076,0.000690109,0.002101743,0,0,0,1.071698553,0.128887362,0,0,0.002174636,0,0,0,0.070502026,0.000786403,0.717658584,0.505102885
American Samoa,3.94715934,4.53E-05,0.007206584,0.003554387,0.010040434,0,0.000328087,8.18E-05,1.209032007,0.075083067,0,0,0.013992621,0,0,0.000591094,0.042951246,0.001412332,0.67872837,1.904439085
Samoa,4.006518588,0.001201099,0.057717042,0.034085752,0.005045149,0,0.002320785,0.000257199,1.217819164,0.06458127,0,0,0.002337497,1.80E-05,3.87E-06,0.005129537,0.037937608,0.012129917,0.664081672,1.9047597
Cook Islands,3.693455418,1.73E-05,0.000273417,0.000227902,0.000974471,0,1.18E-05,8.55E-06,1.177109919,0.066968024,0,0,0.001464556,4.37E-07,2.43E-07,0.000173987,0.037759319,0.000615896,0.674305163,1.733595054
Niue,3.965291135,1.09E-05,0.000637674,0.000248879,0.001085843,0,4.06E-05,3.21E-06,1.242139449,0.083812476,0,0,0.001606272,0,0,0.000166131,0.047384667,0.000416975,0.675657838,1.912300558
Tonga,3.824466311,0.000318889,0.00435119,0.004742848,0.002465723,3.86E-05,0.001161408,5.55E-05,1.215095079,0.081656083,0,0,0.001632033,0.000160253,2.39E-05,0.001773647,0.054184957,0.009000407,0.593657703,1.854400304
Tokelau,3.740709414,0,0.000917571,0.002166382,0.003935895,0,0,0,1.183958037,0.057115456,0,0,0.004594847,0,0,0.000477917,0.03103885,0.000763196,0.630214314,1.825526911
Phoenix Group,2.890268145,6.19E-07,0.000297005,0.001058792,0.004499482,0,0.000104396,0,1.076934089,0.0344901,0,8.25E-05,0.006245692,0,0,5.81E-05,0.018801113,0.000340384,0.6827061,1.064649784
Howland Island and Baker Island,2.973074521,0,0.00083031,0.004332279,0.014316273,0,0,0,1.039895268,0.037243295,0,0,0.017817612,0,0,0,0.019967151,0.000141777,0.7522051,1.086325428
Johnston Atoll,3.28873429,0,0.000755173,0.000681522,0.003188822,0,0.00044046,0,1.175636571,0.089246774,0,0,0.004627755,0,0,4.77E-05,0.049589063,0.000550842,0.628165384,1.335804167
Hawaii,3.591847861,0.000164001,0.001670131,0.002600461,0.005916741,0.000517311,0.000588252,0.000140135,1.174972343,0.204175952,0,0.002462902,0.002978226,0.000588007,7.46E-05,0.000631343,0.119543565,0.002359125,0.734714714,1.338509845
Wallis and Futuna,3.79355948,0.000171112,0.000239533,0.000205573,0.000257116,0,0.000529529,5.14E-05,1.196869539,0.046153201,0,0,0.000238392,0,0,0.000977708,0.02668255,0.002785833,0.59536677,1.923807351
New Zealand,2.664415843,0.000137201,0.053674776,0.009011011,0.003539906,0.002883752,0.002289706,0.000161107,1.024443588,0.081885513,0,0.000115671,0.000324279,0.002249295,0.000166695,0.002480621,0.055354459,0.018182509,0.647081322,0.76211441
United States,3.52980045,0.001164084,0.081475612,0.031898393,0.042422645,0.014711554,0.030308618,0.003849488,0.884281803,0.383326647,0.000100322,0.002122974,0.002337178,0.012705164,0.0024655,0.01535003,0.276276608,0.163706528,0.577910583,1.008961363
Belize,3.767283306,0.015264329,0.049280708,0.033162968,0.01255452,0.01550516,0.040156375,0.002757654,1.111861369,0.21244974,0,0.006265724,0.00024813,0.014394014,0.006144283,0.033637738,0.175633162,0.256279211,0.274500861,1.521665083
Colombia - Jamaica,4.237517271,0,0.021375249,0.027520601,0.006158888,0,0,0,1.162415304,0.283230285,0,0,0.00011689,0,0,0,0.195194222,0.017388621,0.569544448,1.954572766
Jamaica,4.310716039,0.00064155,0.022823583,0.014586567,0.007163485,0.005770056,0.010028024,0.001331873,1.184497394,0.332628893,0,0.000656279,0.000263497,0.001463548,0.000160743,0.005152428,0.217355799,0.009063732,0.524196881,1.975509115
Guyana,3.984395363,0.00020209,0.074013281,0.020602467,0.016509339,0.006491227,0.007191238,0.000677562,0.920794927,0.180280402,0,0.015598221,0.00074231,0.006470627,0.000478227,0.008166092,0.105891403,0.278210403,0.571064804,1.777206845
Suriname,4.076766259,6.72E-05,0.044796454,0.006556528,0.007174599,0.003290097,0,0.00015292,1.017506444,0.17863425,0,0.007478607,0.000490437,0.0043704,0.000727969,0.003715251,0.135445066,0.159169308,0.596700131,1.921154667
French Guiana,4.082147114,0.000280098,0.021977611,0.003780199,0.002840894,0.002129657,0,0.000308448,1.018906401,0.221577064,0,0.004735807,0.000679701,0.000892503,5.46E-05,0.004303776,0.154069439,0.1743992,0.644901667,1.829537841
Alaska,2.936880033,3.53E-05,0.129128021,0.020121235,0.017065492,0.001264668,0.00770885,0.000262613,0.632510936,0.201434234,1.16E-05,0,0.000702768,0.001396476,0.000116071,0.001667636,0.13743369,0.078204882,0.651339083,1.113469892
Brazil,4.002921605,0.000712436,0.074046397,0.03955424,0.020459437,0.00814457,0.011197837,0.001078644,1.004243792,0.247509389,0.000550712,0.044348179,0.009715017,0.009996891,0.001209366,0.007290133,0.166605187,0.129813988,0.61773766,1.613342983
Argentina,2.987351442,7.46E-05,0.207971635,0.041214618,0.021842317,0.002673256,0.009303305,0.00046152,0.749891731,0.060083111,4.17E-06,1.27E-05,0.000224872,0.003650308,0.001063374,0.00436195,0.055578814,0.157173651,0.706457126,0.968880406
Uruguay,3.207981121,5.96E-05,0.157049989,0.037745188,0.015412592,0.006871582,0.021818149,0.000853408,0.667253046,0.115214262,0,0.000366485,0.001348696,0.012321792,0.005673359,0.007373048,0.065197462,0.301351229,0.526676484,1.267067875
Finland,3.374701223,0.004100687,0.01369983,0.108124994,0.085095137,0.061320468,0.304216274,0.021120199,0.004530061,0.437801695,0,0,0.026666988,0.060452074,0.002674396,0.11103594,0.207200773,1.080792563,0.218258834,0.648032278
Denmark,4.126349529,0.00214533,0.324819103,0.19039833,0.098040439,0.038448787,0.226261004,0.008315149,0.214828832,0.548893577,0,0,0.028295674,0.071874632,0.004680674,0.061677572,0.336984848,0.796684353,0.328194025,0.86241235
Germany,3.847478024,0.002221178,0.302319273,0.142789777,0.065674311,0.058038909,0.230757997,0.013339966,0.187013275,0.543727641,0,0,0.013437849,0.099629582,0.021040483,0.076036215,0.254681987,0.936608644,0.233015755,0.678121284
Netherlands,3.814889605,0.000836655,0.400063983,0.168007893,0.085288864,0.05173064,0.122467741,0.011375558,0.236698659,0.562405558,4.09E-05,0,0.012033627,0.054637589,0.01658272,0.04507777,0.247339972,0.868535972,0.247083589,0.692533762
Poland,4.36408916,0.001780037,0.032585121,0.201855975,0.167823673,0.085491263,0.101992356,0.009228845,0.02494756,0.483991868,0,0,0.058432388,0.083208459,0.022370526,0.042978852,0.5788132,0.367951003,0.61502234,1.492005577
France,4.315881643,0.004309137,0.12000238,0.082946538,0.063527498,0.032433798,0.056959508,0.005951897,0.997451288,0.421781458,0,0,0.024557956,0.024708136,0.010152117,0.023343454,0.459288859,0.102051134,0.514007896,1.380616146
United Kingdom,5.039542108,0.001176005,0.306949331,0.174184809,0.085798192,0.016265323,0.062490172,0.003942808,0.846927012,0.362662501,2.32E-05,0,0.087644252,0.016283617,0.002221834,0.020783577,0.419187547,0.165501577,0.671854564,1.809828809
Ireland,4.681413542,0.001009945,0.220601141,0.082285384,0.033569767,0.00587595,0.01772787,0.001789969,1.015999236,0.285898425,0,0,0.029362341,0.008939595,0.000803525,0.011827834,0.269517183,0.045610093,0.69239054,1.966571293
Spain,4.339341931,0.000766959,0.072526035,0.065002574,0.060029521,0.025099315,0.026594043,0.004068342,1.081742416,0.480746743,0,4.37E-07,0.017586086,0.01429481,0.002631845,0.013004335,0.389285564,0.032617861,0.601488466,1.457057432
Portugal,4.445480656,0.000617593,0.073372391,0.042788856,0.06993421,0.011206693,0.011176486,0.001811657,1.129062536,0.484889871,0,0,0.009674545,0.00577196,0.00301884,0.006000608,0.371269488,0.02493481,0.648681223,1.553934699
Italy,4.409686784,0.001828979,0.075594508,0.048489025,0.047326024,0.041951554,0.043929504,0.006379592,1.057155693,0.497563207,0,0,0.009352976,0.026359786,0.010560346,0.02205769,0.41548793,0.073503126,0.531681589,1.508843349
Monaco,4.151491521,0.000250277,0.086897087,0.082305698,0.091973936,0.050937719,0.004612847,0,1.196376239,0.583020054,0,0,0.024146628,0.009008707,0.001519427,0.007186081,0.510963717,0.002598432,0,1.49969468
Montenegro,4.358249471,0.001106191,0.071848362,0.050074088,0.040500762,0.047893165,0.123937843,0.010046304,0.926054399,0.376325625,0,0,0.005489917,0.024714003,0.004418988,0.038653777,0.325104025,0.155231099,0.627482657,1.547360839
Croatia,4.208695871,0.004979387,0.149622772,0.063479496,0.119447601,0.035959391,0.09781932,0.014100357,0.656208428,0.445305461,0,0,0.004947962,0.036312615,0.004286659,0.084257054,0.425968871,0.463663745,0.429825845,1.203703828
Slovenia,6.191027006,0.009026777,0.124804498,0.070100446,0.159850087,0.42955597,1.106939698,0.155307499,0.518046808,0.768727404,0,0,0.00431245,0.240138884,0.049995577,0.413305179,0.504487672,0.705453384,0,1.096147612
Lithuania,4.290095993,0.001244743,0.021101241,0.170810386,0.126157692,0.068618401,0.347981622,0.009279015,0.016895439,0.471039954,0,0,0.035092709,0.086791162,0.024774391,0.046947172,0.444672567,0.512421243,0.592551038,1.344316019
Qatar,3.10037562,0.001459157,0.09519329,0.089291503,0.051652667,0.015142897,0.175091883,0.011163194,0.326112381,0.401402046,0.051929812,0.122202655,0.001511065,0.028144031,0.003723456,0.029505138,0.173253546,0.75997463,0.150793518,0.617978089
Iran,4.23983935,0.001960221,0.115047066,0.085760654,0.041482885,0.019426981,0.053464661,0.006199607,0.811962378,0.418820395,0.009958007,0.196776683,0.006418139,0.008698587,0.001213056,0.024477095,0.395971539,0.293051188,0.385555778,1.383045044
Iraq,4.710293897,0.005322663,0.2463815,0.148725188,0.048864999,0.56656789,0.759322741,0.027730905,0.389111593,0.455906225,0.004972188,0.000210121,0.000376765,0.493860127,0.242163411,0.106464385,0.196605913,0.380567575,0.028213108,0.695067494
Guinea Bissau,3.941085319,0.0005184,0.032948521,0.037870219,0.033953158,0.004239852,0,6.74E-05,0.907335884,0.237423767,0,0.007351662,0.005570585,0.000372537,4.42E-05,0.022248375,0.160305482,0.376185008,0.537926344,1.588926694
Guinea,4.028807627,0.000330637,0.072960576,0.125754271,0.042219608,0.005303508,0.014002887,0.000269132,0.848669236,0.269841476,0,0.012200157,0.004257149,0.001281111,0.000201258,0.009873985,0.179235346,0.4005043,0.517177283,1.529606711
Ivory Coast,4.1686425,0.0001505,0.047143846,0.021758996,0.033419221,0.013024858,0.009231476,0.000364431,1.110364214,0.254222554,0.000524193,0.033293536,0.005749911,0.006057021,0.001252199,0.004159124,0.146277803,0.042821569,0.627953709,1.815229447
Nigeria,4.710977469,0.005858836,0.20173207,0.23138281,0.081554366,0.018595394,0.031480972,0.001726421,1.060693559,0.259786815,0.096676427,0.440388324,0.013594882,0.007294884,0.001987412,0.009948454,0.236053755,0.12968312,0.36829765,1.520488279
Cameroon,3.560224157,0.00312872,0.147930396,0.421264028,0.094119058,0.103910548,0.161472049,0.003832414,0.487907063,0.228451087,0.087930867,0.020088811,0.001702196,0.026151013,0.009930647,0.065678499,0.102793154,0.474036108,0.233148897,0.912507705
Gabon,3.372987949,0.003554677,0.02866451,0.035686446,0.016694537,0.00603877,0.015925995,0.000756565,1.000678972,0.158906143,0.01025277,0.037868646,0.00259818,0.000973587,0.000164137,0.006485362,0.123093103,0.0634159,0.4925958,1.373752703
Democratic Republic of the Congo,4.678896623,0.004850933,0.20918856,0.158438839,0.042285887,0.536648076,0.493032066,0.021786706,0.425272632,0.359085377,0.202512384,0.051747477,0.000615949,0.20582159,0.055484899,0.108037623,0.147366127,0.698302574,0.363991403,0.657219188
Angola,3.826022879,0.00038237,0.095532343,0.064305275,0.02209403,0.009783908,0.010364667,0.000563668,1.046088738,0.160938531,0.004977808,0.001446539,0.001356584,0.0013095,0.000197013,0.004768093,0.107481308,0.046102257,0.585635223,1.667001591
Nigeria - Sao Tome and Principe,4.208927399,0,0.011690588,0.013389248,0.016616635,0,0,0,1.04344296,0.179136128,0,0.608298567,0.002758577,0,0,0,0.121263076,0,0.531602512,1.680729069
Tanzania,3.61879444,0.002046827,0.038510637,0.074294225,0.018315679,0.015071648,0.012096841,0.000576555,1.028152126,0.071325772,0,0.013394863,0.002438809,0.004738709,0.000439922,0.015648706,0.037921804,0.074770464,0.521124533,1.695432366
India,4.203329472,0.000794113,0.196985006,0.134237391,0.074984557,0.022429477,0.018210582,0.001404298,0.970640183,0.242247196,0.000436002,0.019419643,0.01580324,0.025639403,0.001254479,0.009501251,0.168213512,0.106124735,0.603154518,1.596069353
Bangladesh,3.71433788,0.002239242,0.214921094,0.295238293,0.053638984,0.047676764,0,0.000646333,0.696824385,0.024960263,0,0.001424792,0.000604685,0.059967863,0.010864745,0.042393919,0.023459038,0.386072781,0.50870573,1.366477732
Myanmar,3.925115193,0.002843425,0.332501305,0.229576083,0.10213932,0.012060914,0.002879354,0.000174734,0.858312506,0.038612199,2.39E-05,0.002213416,0.004442096,0.005521706,0.001318646,0.018231278,0.024131205,0.244546202,0.555671533,1.497670618
Malaysia,4.462445005,0.002191084,0.449322282,0.339616737,0.181316956,0.023999041,0.038371132,0.003301181,0.738407826,0.252400682,0.004897651,0.012197076,0.020039948,0.047683592,0.009878181,0.022803946,0.230746121,0.417105905,0.488336512,1.187050248
Vietnam,4.245760866,0.000858643,0.41187004,0.368683384,0.133393769,0.016111212,0.015163877,0.00180421,0.751336655,0.289659144,0.001000708,0.006387532,0.014458307,0.024439271,0.004004695,0.015632562,0.222974126,0.379457838,0.428411153,1.164545363
Singapore,8.22542399,0.029585418,0.49146724,0.397843921,0.248742056,0.546586211,1.867093647,0.20090082,0.34071711,0.878789355,0,0.000467093,0.004371,0.365028401,0.098785223,0.527302254,0.47783849,1.21555278,0,0.598955293
China,5.171447976,0.002020781,0.600809142,0.685645719,0.191003236,0.042923346,0.052897658,0.008303923,0.535194858,0.443838873,0.000366484,0.010333268,0.003143657,0.065111662,0.010517079,0.042507104,0.389018491,0.554453842,0.438817022,1.105221888
Japan,4.289050758,0.000781734,0.103952158,0.086558277,0.069561704,0.005693058,0.013931076,0.001864198,1.108105608,0.308478133,0,0.008146626,0.023489773,0.004101474,0.001414453,0.008069959,0.206861134,0.024645763,0.669903101,1.647001999
Japan - Korea,5.072486597,0,0.415768704,0.237821707,0.10987581,0,0,0,0.995129418,0.33012424,0,0,0.012077773,0,0,0,0.435142847,0.000637789,0.742399749,1.793508568
Kiribati,3.229712796,0.000656503,0.011368706,0.007463808,0.014313576,0,0.000164443,2.26E-05,1.093193022,0.029667532,0,2.64E-05,0.016193265,0,0,0.001442822,0.016394746,0.004476447,0.68868883,1.345838259
Antarctica,1.578683036,0,0.002467567,9.59E-06,0.011402099,0,0.000135942,0,0.564361239,0.016640386,0,0,0.00270886,0,0,0,0.00959225,0.027055375,0.428029972,0.772518046
Egypt,4.63480473,0.000779522,0.073510599,0.087571338,0.020117201,0.013666868,0.042696004,0.005307168,1.076036884,0.448685015,0.000784074,0.016601761,0.001247149,0.016430025,0.003791351,0.0162942,0.332612043,0.138740995,0.509604571,1.841404939
Jordan,6.586364515,0.06961441,0.588847084,0.476229618,0.247792146,0.323053195,0.80424522,0.204995021,1.023255136,0.591958122,0,0.010593006,0.004069102,0.106093593,0.010891817,0.403907533,0.155121629,0.507837004,0,1.290074093
Indonesia,3.785762584,0.003621854,0.215199138,0.160875772,0.115214055,0.011867527,0.008750129,0.000486755,0.939547558,0.129229258,0.000181247,0.002980189,0.034819975,0.011279183,0.001216453,0.016937674,0.088821554,0.240207742,0.534442143,1.275865578
Conflict Zone,5.971063756,4.87E-08,0.770993102,0.507972706,0.195491909,0,0,0,1.010338534,0.362692704,0,0.083434747,0.021603067,0,0,0.000283197,0.478391486,0.011846867,0.792030031,1.735985375
Canada,2.395918538,0.000749392,0.061014433,0.029384267,0.013120557,0.001952324,0.008653765,0.000802957,0.564079834,0.111408545,1.87E-05,0,0.007329168,0.001353059,0.000227381,0.00466179,0.098228554,0.106078093,0.453544307,1.144803682
Saint Pierre and Miquelon,3.980718108,0.000392299,0.221209413,0.159161033,0.026949866,0.001223288,0.030784358,0.001470842,0.628081975,0.308861257,0,0,0.011804023,4.90E-06,7.61E-08,0.012864269,0.318961129,0.169279428,0.42391712,1.673818861
Sint-Maarten,5.145354975,0.026755238,0.103190547,0.088608627,0.027752271,0.058614241,0.275558763,0.040045861,1.034240997,0.672757084,0,0,0.012328373,0,0,0.06735146,0.608090321,0.236296497,0.346157105,1.5806526
Northern Saint-Martin,4.751884603,0.009998789,0.145139129,0.128021258,0.041015345,0.008385623,0.11150848,0.009065499,1.02385985,0.42547515,0,0.000468192,0.013468782,0,0,0.03213216,0.342418672,0.199616379,0.444901583,1.824418032
Sweden,3.880591732,0.004630751,0.029343871,0.132457308,0.102013084,0.051061248,0.237321736,0.014913131,0.033159264,0.479512716,0,0,0.053702336,0.030881437,0.001663086,0.068553801,0.417142512,0.611549227,0.448134949,1.193651858
Norway,3.967078805,0.000837164,0.192359751,0.188955814,0.060707193,0.003794532,0.018944846,0.003165062,0.942706358,0.205258747,0.000187271,0,0.077411138,0.00163324,5.45E-05,0.013491828,0.186016965,0.058222693,0.488536248,1.669386328
Chile,3.256989324,0.00058166,0.030784014,0.031351551,0.074712846,0.002670422,0.002239463,0.000174059,0.961675984,0.099644174,1.37E-06,4.03E-05,0.000758271,0.002129476,0.000657533,0.004455317,0.059495368,0.031573326,0.767934945,1.192660326
Easter Island,3.439783285,5.75E-06,0.026798803,0.015825518,0.016837537,0,0,4.70E-06,1.070258257,0.02141738,0,0,0.019776497,9.83E-05,1.25E-05,6.55E-05,0.012371819,0.000144745,0.713374563,1.542893814
Japan - South Korea Conflict Zone,3.738625393,0,0.137198193,0.06287062,0.041209088,0,0,4.22E-05,0.929076275,0.285474165,0,0,0.003794341,0,0,0,0.205564231,0.000146993,0.608908853,1.46434039
Jersey,3.40141332,0.002895057,0.189809687,0.141793599,0.062199304,0.02169506,0.261404217,0.008845506,0.212368138,0.356227694,0,0,0.00186988,0.007943201,0.000911841,0.035361702,0.201149228,0.903473494,0,0.997592869
Guernsey,4.922829448,0.002153281,0.276018693,0.239338124,0.108974252,0.005184162,0.114165741,0.002760217,0.717389262,0.416979168,0,0,0.030166815,0.000230014,2.02E-05,0.019326581,0.577611468,0.282261571,0.497236977,1.6340018
East Timor,3.595057956,0.001957714,0.091246877,0.073410309,0.049612036,0.021583414,0.001273578,0.00057962,1.10594904,0.087433864,0,0.000984994,0.003577902,0.001107352,6.04E-05,0.023024042,0.055139563,0.063482606,0.546446678,1.478937001
Bosnia and Herzegovina,6.14074316,0,0.022995935,0.024856772,0.057638393,0.465213764,1.26954267,0.431591759,0.293595752,0.023944702,0,0,0,0.334976631,0.07208771,1.288147187,0.232151267,1.43092103,0.113060972,0.4000929
Oecussi Ambeno,4.214388476,0.000788505,0.267466369,0.250880021,0.151749164,0.034332658,0,0.000512054,1.127451533,0.266392636,0,0.002839385,0.007716983,0.014383726,0.00070236,0.031489328,0.162288227,0.033944825,0.118667213,1.761919913
Australia - East Timor,3.55395695,0,0.16854861,0.079404977,0.043820696,0,0,0,0.952458177,0.081947449,0.00093451,0.004395443,0.003340902,0,0,0,0.082153589,0.157821347,0.641827136,1.337304072
Australia - Papua New Guinea,1.975260248,0.000836068,0.034907987,0.024309701,0.01778094,0.005894023,0,0.000138742,0.057000922,0.098963819,0,1.89E-05,0.000581645,0.001726733,6.30E-05,0.026360434,0.008966901,1.607842546,0.037622803,0.052683413
Chile/Peru,3.277341311,2.63E-05,0.013749535,0.031672723,0.10229998,0.000787389,0.000381282,0,1.045177903,0.122243386,0,0.000766351,0.002514347,0.00012201,1.39E-05,3.12E-05,0.06623313,3.17E-05,0.76703933,1.124250808
Curaçao,4.517948974,0.001428593,0.033818346,0.008683145,0.023092956,0.003400903,0.001611968,0.001702221,1.188795237,0.412325638,0,0,0.0021321,0,0,0.006816006,0.304338447,0.008738014,0.547804469,1.979031983
Bonaire,4.626818518,0.001144159,0.086030763,0.012176454,0.03615664,0.001950414,0.007041835,0.001110699,1.185516384,0.427555666,0,0,0.001816518,0,0,0.01162669,0.298672453,0.020496608,0.549241203,1.997577409
