"targets","layer","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"NA","hab_coral_health","Habitat condition of seagrass","Current condition of coral habitat relative to historical condition","health","proportion","../ohiprep/globalprep/hab_coral/v2012/data/habitat_health_coral_updated.csv",TRUE,"hab_coral_health.csv","eez2016/layers/hab_coral_health.csv"
"NA","hab_coral_trend","Habitat condition trend of seagrass","Estimated change in coral condition","trend","trend","../ohiprep/globalprep/hab_coral/v2012/data/habitat_trend_coral_updated.csv",TRUE,"hab_coral_trend.csv","eez2016/layers/hab_coral_trend.csv"
"NA","hab_mangrove_extent","Habitat extent of mangrove","Area of mangrove habitat","km2","km2","../ohiprep/globalprep/hab_mangrove/v2015/data/habitat_extent_mangrove_updated.csv",TRUE,"hab_mangrove_extent.csv","eez2016/layers/hab_mangrove_extent.csv"
"NA","hab_mangrove_health","Habitat condition of mangrove","Current condition of mangrove habitat relative to historical condition","health","proportion","../ohiprep/globalprep/hab_mangrove/v2015/data/habitat_health_mangrove_updated.csv",TRUE,"hab_mangrove_health.csv","eez2016/layers/hab_mangrove_health.csv"
"NA","hab_mangrove_trend","Habitat condition trend of mangrove","Estimated change in mangrove condition","trend","trend","../ohiprep/globalprep/hab_mangrove/v2015/data/habitat_trend_mangrove_updated.csv",TRUE,"hab_mangrove_trend.csv","eez2016/layers/hab_mangrove_trend.csv"
"NA","hab_seagrass_extent","Habitat extent of saltmarsh","Area of seagrass habitat","km2","km2","../ohiprep/globalprep/hab_seagrass/v2012/data/habitat_extent_seagrass_updated.csv",TRUE,"hab_seagrass_extent.csv","eez2016/layers/hab_seagrass_extent.csv"
"NA","hab_seagrass_health","Habitat condition of seagrass","Current condition of seagrass habitat relative to historical condition","health","proportion","../ohiprep/globalprep/hab_seagrass/v2012/data/habitat_health_seagrass_updated.csv",TRUE,"hab_seagrass_health.csv","eez2016/layers/hab_seagrass_health.csv"
"NA","hab_seagrass_trend","Habitat condition trend of seagrass","Estimated change in seagrass condition","trend","trend","../ohiprep/globalprep/hab_seagrass/v2012/data/habitat_trend_seagrass_updated.csv",TRUE,"hab_seagrass_trend.csv","eez2016/layers/hab_seagrass_trend.csv"
"NA","hab_seaice_extent","Habitat extent of saltmarsh","Area of seaice (edge and shoreline) habitat","km2","km2","../ohiprep/globalprep/hab_seaice/v2016/output/hab_ice_extent_eez_updated.csv",TRUE,"hab_seaice_extent.csv","eez2016/layers/hab_seaice_extent.csv"
"NA","hab_seaice_health","Habitat condition of seagrass","Current condition of seaice habitat relative to historical condition","health","proportion","../ohiprep/globalprep/hab_seaice/v2016/output/hab_ice_health_eez_updated.csv",TRUE,"hab_seaice_health.csv","eez2016/layers/hab_seaice_health.csv"
"NA","hab_seaice_trend","Habitat condition trend of seagrass","Estimated change in seaice condition","trend","trend","../ohiprep/globalprep/hab_seaice/v2016/output/hab_ice_trend_eez_updated.csv",TRUE,"hab_seaice_trend.csv","eez2016/layers/hab_seaice_trend.csv"
"NA","sp_alien_species","Management of nonindigenous species","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: invasive species related questions","resilience score","scaled 0-1","../ohiprep/globalprep/res_cbd_habitat/v2014/data/r_alien_species_Nature2012disaggregated.csv",TRUE,"sp_alien_species.csv","eez2016/layers/sp_alien_species.csv"
"NP","np_blast","Areas of blast fishing","Destructive artisanal blast fishing","score","score","../ohiprep/globalprep/np_prs_poison_blast_fishing/v2013/data/gl_thr_blast_3nm_rgn2013.csv",TRUE,"np_blast.csv","eez2016/layers/np_blast.csv"
"NP","np_cyanide","Areas of poison fishing","Destructive artisanal poison (cyanide) fishing","score","score","../ohiprep/globalprep/np_prs_poison_blast_fishing/v2013/data/gl_thr_poison_3nm_rgn2013.csv",TRUE,"np_cyanide.csv","eez2016/layers/np_cyanide.csv"
"NP","np_harvest_product_weight","Relative harvest value","Value of harvest of each commodity relative to total harvest of six marine commodities (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) for each region and year","weight","proportion","../ohiprep/globalprep/np/v2016/output/np_harvest_weights_from_usd.csv",TRUE,"np_harvest_product_weight.csv","eez2016/layers/np_harvest_product_weight.csv"
"NP","np_harvest_tonnes","Natural product harvest","Yield in metric tonnes of six marine commodities (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)","tonnes","tonnes","../ohiprep/globalprep/np/v2016/output/np_harvest_tonnes.csv",TRUE,"np_harvest_tonnes.csv","eez2016/layers/np_harvest_tonnes.csv"
"NP","np_harvest_tonnes_relative","Relative harvest tonnes","Tonnes of harvest of each commodity relative to maximum harvest (with 35% buffer) of the commodity within the region observed across years. ","tonnes_rel","proportion","../ohiprep/globalprep/np/v2016/output/np_harvest_tonnes_rel.csv",TRUE,"np_harvest_tonnes_relative.csv","eez2016/layers/np_harvest_tonnes_relative.csv"
" spatial","cntry_rgn","ISO country codes","Lookup table of country codes (based on ISO 3166 country codes) and Ocean Health Index region identifiers","rgn_id","region id","../ohiprep/globalprep/spatial/v2013/cntry_rgn_2013.csv",TRUE,"cntry_rgn.csv","eez2016/layers/cntry_rgn.csv"
" spatial","rgn_area","Region areas based on EEZ boundaries","Area of Ocean Health Index regions modified from exclusive economic zones ","area_km2","km2","../ohiprep/globalprep/spatial/v2015/data/rgn_fao_gcs_area.csv",TRUE,"rgn_area.csv","eez2016/layers/rgn_area.csv"
" spatial","rgn_georegions","UN geopolitical region classifications","UN geopolitical regions (3 levels), often used for gapfilling missing data","georgn_id","UN regions","../ohiprep/globalprep/spatial/v2013/rgn_georegions_long_2013b.csv",TRUE,"rgn_georegions.csv","eez2016/layers/rgn_georegions.csv"
" spatial","rgn_global","OHI regions","Subset of regions that are not deleted or disputed ","label","label","../ohiprep/globalprep/spatial/v2013/rgn_global.csv",TRUE,"rgn_global.csv","eez2016/layers/rgn_global.csv"
" spatial","rgn_labels","Regions","Regions by type (eez, subocean, unclaimed)","label","label","../ohiprep/globalprep/spatial/v2013/rgn_labels.csv",TRUE,"rgn_labels.csv","eez2016/layers/rgn_labels.csv"
"SPP","spp_status","Average species condition","Species condition based on average of IUCN threat categories","score","status score","../ohiprep/globalprep/spp_ico/v2016/output/spp_status_global.csv",TRUE,"spp_status.csv","eez2016/layers/spp_status.csv"
"SPP","spp_trend","Average species condition trend","Species trends based on average of IUCN population trend data","score","trend score","../ohiprep/globalprep/spp_ico/v2016/output/spp_trend_global.csv",TRUE,"spp_trend.csv","eez2016/layers/spp_trend.csv"
"TR","tr_jobs_pct_tourism","Percent direct employment in tourism","Percent direct employment in tourism","Ep","proportion","../ohiprep/globalprep/tr/v2016/output/tr_jobs_pct_tourism.csv",TRUE,"tr_jobs_pct_tourism.csv","eez2016/layers/tr_jobs_pct_tourism.csv"
"TR","tr_sustainability","Tourism sustainability index","Tourism Competitiveness Index (TTCI)","S_score","score","../ohiprep/globalprep/tr/v2015/data/tr_sustainability.csv",TRUE,"tr_sustainability.csv","eez2016/layers/tr_sustainability.csv"
"TR","tr_travelwarnings","US State Department travel warnings","Countries with US State Department travel warnings","multiplier","score","../ohiprep/globalprep/tr/v2016/output/tr_travelwarnings.csv",TRUE,"tr_travelwarnings.csv","eez2016/layers/tr_travelwarnings.csv"
" weighting","element_wts_cp_km2_x_protection","Coastal protection weights","Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland 1km), saltmarsh, sea ice (shoreline), and seagrass","extent_rank","extent*rank","../ohiprep/globalprep/hab_combined/v2015/data/cp_habitat_extent_rank.csv",TRUE,"element_wts_cp_km2_x_protection.csv","eez2016/layers/element_wts_cp_km2_x_protection.csv"
" weighting","element_wts_cs_km2_x_storage","Carbon storage weights","Habitat extent multiplied by carbon storage capacity for: mangrove, saltmarsh, and seagrass","extent_rank","extent*storage","../ohiprep/globalprep/hab_combined/v2015/data/cs_habitat_extent_rank.csv",TRUE,"element_wts_cs_km2_x_storage.csv","eez2016/layers/element_wts_cs_km2_x_storage.csv"
" weighting","element_wts_hab_pres_abs","Habitat weights","List of habitats in each region","boolean","boolean","../ohiprep/globalprep/hab_combined/v2015/data/hab_habitat_presence.csv",TRUE,"element_wts_hab_pres_abs.csv","eez2016/layers/element_wts_hab_pres_abs.csv"
