"country","Index","region_id","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Cameroon",-0.43,197,0,-0.08,-0.08,-0.07,-0.06,-0.06,-0.11,-0.08,0.21,0.49,-0.66,-0.66,,-0.03,-0.02,-0.02,,-3.1
"Juan de Nova Island",-0.43,33,0.05,-0.11,-0.06,0,0,,-0.09,0.01,-0.3,-0.61,,,,,0,0,,-2.65
"Marshall Islands",-0.43,11,0.06,0.02,0.01,0,0.06,0.04,0.1,0.7,0.74,0.77,0.15,0.15,,0.02,0.01,0.01,-2.62,-2.79
"Equatorial Guinea",-0.45,104,-0.19,-0.05,-0.06,-0.05,-0.04,-0.04,-0.18,-0.07,-0.04,0,-1.25,-1.25,,-0.04,-0.05,-0.06,-3.36,0.63
"Greenland",-0.45,145,0.76,0.03,0.12,0.22,0.16,,0,0,0,0,0.36,0.36,,0.02,0.01,0,-3.23,-2.29
"Sudan",-0.46,49,-0.04,-0.04,-0.04,-0.05,-0.1,-0.07,1.82,0.02,0.49,0.95,-0.02,-0.02,,-0.03,-0.01,0,1.85,-8.49
"Kerguelen Islands",-0.5,93,,0,0,0,,,0,,,,-1.98,-1.98,,-0.06,-0.03,0,,
"Sierra Leone",-0.54,96,-0.19,-0.24,-0.16,-0.09,-0.19,-0.19,-0.33,-0.11,-0.11,-0.12,-0.68,-0.68,,-0.25,0.36,0.96,,-3.38
"Israel",-0.55,79,0.4,0,0,0,0,0,0.22,0,0,0,0.02,-2.78,0.06,0,0,0,-0.98,-2.41
"United Arab Emirates",-0.55,54,-3.23,0.15,0.07,0,0.18,0.19,0.53,0,0,0,0.08,-0.05,0.12,0.12,0.17,0.22,-0.32,-3.03
"Jamaica",-0.59,166,0.14,0.07,0.06,0.05,0.04,0,-0.07,1.68,0.75,-0.18,0,0,-0.01,0.04,0.02,0,-1.19,-5.62
"El Salvador",-0.61,134,0.02,-0.06,-0.07,-0.07,-0.05,-0.05,-0.21,0,0.99,1.99,0.28,0.02,0.05,-0.05,-0.02,0,-6.86,0.15
"Papua New Guinea",-0.61,17,0.09,0.06,0.03,0,0.06,0.06,0.04,0.82,0.41,0,0.3,0.3,0,0.05,0.03,0.01,-6,-1.06
"Tunisia",-0.63,61,0.02,-0.09,-0.05,0,,,0.06,0,-0.04,-0.08,0.24,-0.89,0.36,-0.06,-0.03,0,-0.83,-3.27
"Algeria",-0.66,84,0.13,0.03,0.03,0.02,,,-0.76,0.39,0.2,0,0.04,0.01,0.01,-0.01,-0.01,0,-2.38,-2.47
"Lithuania",-0.66,189,3.09,0.15,-2.4,-4.94,-12.22,,-0.09,0,1.9,3.8,0.77,0.77,,,0,0,3.23,-0.25
"Brunei",-0.67,247,0.1,-0.09,-0.05,0,0,-0.09,0.26,-4.82,-2.49,-0.17,-0.78,-1.04,0.46,-0.05,-0.04,-0.03,-4.32,0.94
"Trinidad and Tobago",-0.72,126,0.31,-0.03,-0.04,-0.06,-0.09,-0.07,0.14,4.14,2.07,0,0,0,,-0.03,-0.02,-0.02,-11.15,1.65
"British Indian Ocean Territory",-0.77,38,0.11,0.01,0.01,0,0,,0.02,0.67,1.26,1.84,0.66,0.66,,0.01,0,0,,-8.23
"Romania",-0.77,72,0.21,-0.02,-0.01,0,,,0.06,0,-0.44,-0.88,0.32,0.32,,-0.03,-0.01,0,-5.76,-0.51
"Liberia",-0.78,97,0.02,-0.03,-0.02,-0.02,-0.01,-0.01,-0.12,0,0,0,-0.91,-0.91,,-0.03,-0.02,0,,-5.97
"Somalia",-0.78,44,0.14,0.09,0.09,0.08,0.06,0.07,0.53,2.05,0.72,-0.61,0.09,0.09,,0.06,0.03,0,-7.86,-1.62
"Bahrain",-0.81,52,0.6,-0.29,-0.25,-0.21,-0.26,-0.22,-0.21,2.04,2.81,3.58,-0.26,-0.26,0,-0.13,-0.06,0,0,-10.24
"Dominica",-0.81,123,-0.01,-0.02,-0.03,-0.03,-0.02,-0.02,-0.46,4.72,1.87,-0.97,0,0,,-0.02,-0.01,0,-0.58,-8.82
"Uruguay",-0.83,173,0.17,-0.07,-0.04,0,,,-0.43,0,0,0,-0.37,-0.37,0,-0.05,-0.59,-1.12,-2.94,-2.43
"Puerto Rico and Virgin Islands of the United States",-0.86,116,-2.86,-0.03,-0.03,-0.02,-0.01,0,-0.03,1.25,0.77,0.28,-0.33,-0.33,0,-0.02,-0.03,-0.04,,-5.24
"Bermuda",-1,108,-6.42,-0.01,-0.02,-0.02,-0.05,0,-0.02,-4.97,-2.48,0,0,0,,-0.01,-0.01,0,,0
"Norway",-1.03,223,0.37,0.07,0.02,-0.03,-10.44,,0.06,1.76,3.9,6.03,0.38,0.79,0,0.06,0.05,0.04,1.42,-5.48
"New Zealand",-1.05,162,0.31,0.01,0,0,0,0,-0.95,0.82,0.41,0,-0.32,-0.61,0,-0.01,0.5,1.02,-5.38,-4.74
"Jordan",-1.15,215,-0.02,-0.26,-0.3,-0.34,-0.32,-0.29,-2.65,0,-0.17,-0.34,-0.01,-0.01,,-0.12,-0.06,0,,-6.5
"Kuwait",-1.22,51,-6.47,-0.37,-0.18,0,-0.39,-0.36,-0.5,0,0,0,-0.15,-0.15,0,-0.17,-2.02,-3.87,,-0.95
"Ukraine",-1.27,75,0.03,-0.16,-0.2,-0.23,-0.28,-0.26,-0.94,0,-0.07,-0.13,0.2,0.01,0.09,-0.15,-0.16,-0.17,-10.11,-0.7
"Nicaragua",-1.3,131,0.13,0.09,0.09,0.1,0.04,0.02,0.7,0,-0.88,-1.76,0.05,-0.67,1.85,0.09,0.05,0,-8.74,-3.68
"Costa Rica",-1.31,130,0.26,0.04,0.02,0,0.04,0.04,0.66,1.32,1.69,2.05,0.69,0.72,-0.15,0.06,0.07,0.07,-13.8,-2.76
"Sweden",-1.36,222,0.52,0.06,0.03,0,-12.34,0.02,-0.04,0,0,0,0.38,0.3,0.09,0.02,0.06,0.09,1.24,-3.42
"Estonia",-1.76,70,0.42,0.06,-0.08,-0.22,-2.04,0,-0.22,6.68,3.6,0.52,0.38,0.38,0,,0,0,-17.41,-2.3
"Lebanon",-2.02,78,-0.03,0.12,-0.01,-0.13,,,-0.86,0.09,-0.23,-0.56,-0.35,-0.34,0,0.03,0.01,-0.01,11.38,-26.09
"North Korea",-2.14,21,0.37,-0.04,-0.02,0,-1.22,,-0.08,-1.68,-0.24,1.2,0.28,0.22,0.01,-0.02,-0.01,0,-14.91,-3.33
"Pakistan",-2.41,53,0.04,-0.04,-0.03,-0.02,0,0,0.15,0.14,-1.12,-2.37,-0.33,-0.34,0,-0.02,-0.02,-0.02,-18.12,-4.61
"Sint Maarten",-3.09,220,-1.1,-0.13,-0.06,0,0,0,-0.15,1.26,0.57,-0.12,-0.01,-0.01,,-0.07,-1.04,-2.02,-29.08,0
"Saudi Arabia",-3.31,50,0.86,-0.05,-0.02,0,-0.12,-0.1,-0.71,0,0,0,-0.02,-0.15,-0.34,-0.03,-0.02,-0.01,-17.78,-15.05
"Sint Eustatius",-3.32,249,-1.07,-0.07,-0.04,0,0,0,-0.11,0.8,0.38,-0.04,,,,-0.05,-0.03,0,-29.06,0
"Bonaire",-3.33,245,-1.07,-0.12,-0.06,0,0,0,-0.1,0.8,0.37,-0.05,,,0,-0.05,-0.03,-0.02,-29.09,0
"Saba",-3.33,248,-1.08,-0.07,-0.04,0,0,0,-0.14,0.8,0.38,-0.04,,,,-0.05,-0.05,-0.04,-29.08,0
"Suriname",-3.35,168,0.29,0.08,0.04,0,0,0,1.17,5.34,2.21,-0.91,0.01,0.01,0.05,0.07,0.04,0,-36.32,-0.94
"Sao Tome and Principe",-3.58,103,0.04,0.01,0.01,0,,,0.11,0,0,0,-0.9,-0.9,,0,0,0,-30.52,2.65
"Syria",-4.04,77,-1.11,-0.88,-0.85,-0.81,,,1.28,0,0,0,-0.76,-0.76,,-0.52,-0.26,0,-2.3,-28.3
