layer,variable,variable_data
ss_spi,short_name,Weak social progress
ss_spi,source_citation,"Stern, S., A. Wares and T. Hellman. 2016. Social Progress Index: 2016 Methodological Report [http://www.socialprogressimperative.org/]."
ss_wgi,radical_include,yes
ss_wgi,short_name,Weakness of governance
ss_wgi,source_citation,Worldwide Governance Indicators (WGI) [http://info.worldbank.org/governance/wgi/index.asp].
tr_jobs_pct_tourism,radical_include,yes
tr_jobs_pct_tourism,short_name,Tourism employment
tr_jobs_pct_tourism,source_citation,World Travel and Tourism Council (WTTC) [http://www.wttc.org/research/economic-data-search-tool/].
tr_sustainability,radical_include,yes
tr_sustainability,short_name,Tourism sustainability
tr_sustainability,source_citation,World Economic Forum [http://reports.weforum.org/travel-and-tourism-competitiveness-report-2015/index-results-the-travel-tourism-competitiveness-index-ranking-2015/].
tr_travelwarnings,radical_include,yes
tr_travelwarnings,short_name,Travel warnings
tr_travelwarnings,source_citation,U.S. Department of State [http://travel.state.gov/content/passports/english/alertswarnings.html].
wgi_all,radical_include,yes
wgi_all,short_name,Strength of governance
wgi_all,source_citation,Worldwide Governance Indicators (WGI) [http://info.worldbank.org/governance/wgi/index.asp].
