region_id,country,likely_future_state_2012,likely_future_state_2013,likely_future_state_2014,likely_future_state_2015,likely_future_state_2016,score_2012,score_2013,score_2014,score_2015,score_2016,status_2012,status_2013,status_2014,status_2015,status_2016,pred_change,obs_change
80,Greece,75.13,74.95,73.47,70.77,68.36,73.34,73.26,72.17,70.4,68.67,71.5425,71.5675,70.86125,70.01875,68.97749999999999,3.5874999999999915,-2.565000000000012
81,Cyprus,59.7,59.91,60.21,61.66,62.01,57.65,57.64,57.81,58.6,58.66,55.6,55.36875,55.40875,55.535,55.31125,4.100000000000001,-0.2887500000000003
82,Albania,61.95,59.81,58.93,57.11,57.81,59.99,58.61,58.16,56.73,57.06,58.035,57.415,57.395,56.3525,56.3225,3.9150000000000063,-1.7124999999999986
84,Algeria,50.5,49.55,48.82,48.51,50.03,50.84,50.01,49.24,49.16,50.21,51.17125,50.47,49.661249999999995,49.815,50.39625,-0.6712500000000006,-0.7749999999999986
85,Ascension,76.02,77.15,77.18,82.55,81.93,71.46,72.13,72.16,76.72,76.37,66.91285714285713,67.12,67.14571428571428,70.9042857142857,70.8,9.107142857142861,3.8871428571428623
86,Saint Helena,68.03,65.67,65.19,68.56,69.17,63.68,62.29,62.02,65.09,65.56,59.33571428571428,58.91571428571428,58.839999999999996,61.61857142857143,61.94285714285714,8.69428571428572,2.607142857142861
88,Tristan da Cunha,74.61,75.09,74.62,77.88,77.48,69.45,69.7,69.5,72.5,72.28,64.29428571428572,64.30142857142857,64.36999999999999,67.11142857142856,67.07857142857144,10.315714285714279,2.7842857142857156
89,South Georgia and the South Sandwich Islands,82.63,90.8,90.92,91.64,92.77,77.06,85.72,85.89,86.94,87.92,71.49,80.64200000000001,80.86800000000001,82.23400000000001,83.062,11.14,11.572000000000003
90,Prince Edward Islands,72.33,71.83,80.43,77.82,78.73,69.58,69.21,78.29,76.77,77.48,66.822,66.59200000000001,76.15799999999999,75.724,76.232,5.507999999999996,9.409999999999997
91,Crozet Islands,86.87,86.49,85.57,84.94,85.5,83.06,82.68,81.93,81.5,81.94,79.244,78.874,78.284,78.062,78.382,7.626000000000005,-0.8619999999999948
92,Amsterdam Island and Saint Paul Island,77.71,78.24,78.43,78.48,78.63,73.5,74.03,74.19,74.16,74.28,69.28999999999999,69.81800000000001,69.954,69.85,69.928,8.420000000000002,0.6380000000000052
93,Kerguelen Islands,82.72,83.7,84.39,85.22,86.12,78.91,79.73,80.27,80.92,81.64,75.108,75.75800000000001,76.148,76.626,77.16600000000001,7.611999999999995,2.058000000000007
94,Heard and McDonald Islands,86.08,86.15,86.03,85.89,85.8,82.25,82.29,82.19,82.09,82.01,78.426,78.43,78.34,78.27799999999999,78.218,7.653999999999996,-0.2079999999999984
95,Falkland Islands,72.04,71.51,71.05,72.67,71.05,69.45,68.95,68.76,70.47,69.46,66.84857142857143,66.39428571428572,66.47,68.27428571428571,67.87285714285714,5.191428571428574,1.0242857142857105
96,Sierra Leone,40.5,40.79,40.46,40.43,41.84,43.13,43.37,43.15,43.17,44.19,45.761111111111106,45.94777777777777,45.83,45.906666666666666,46.54444444444445,-5.261111111111106,0.7833333333333456
97,Liberia,43.62,44.17,44.1,43.99,48.04,44.55,44.9,44.84,44.78,47.77,45.48,45.635555555555555,45.57333333333334,45.56888888888889,47.49111111111111,-1.8599999999999994,2.011111111111113
98,Togo,60.55,61.93,61.57,60.63,60.02,60.68,61.87,61.64,60.97,60.56,60.81555555555556,61.806666666666665,61.70777777777778,61.30777777777777,61.11222222222222,-0.2655555555555651,0.29666666666665975
99,Benin,55.21,55.48,55.33,55.5,56.1,56.48,56.66,56.55,56.68,57.01,57.73777777777778,57.84777777777778,57.763333333333335,57.86666666666666,57.91555555555556,-2.5277777777777786,0.17777777777777715
100,Republique du Congo,52.07,45.9,45.82,45.41,45.63,56.49,49.58,49.48,49.11,48.97,60.9075,53.26125,53.137499999999996,52.808749999999996,52.30625,-8.837499999999999,-8.60125
101,Namibia,65.17,67.38,65.78,64.54,63.8,63.9,65.81,64.69,63.92,63.4,62.62,64.23625,63.59625,63.3,63.00875,2.5500000000000043,0.3887500000000017
102,South Africa,74.25,77.49,77.72,77.61,76.73,74.14,75.96,76.03,75.95,75.37,74.024,74.429,74.33099999999999,74.297,74.014,0.2259999999999991,-0.010000000000005116
103,Sao Tome and Principe,61.15,55.31,48.72,53.75,58.38,60.75,55.77,49.76,52.93,56.01,60.35125,56.23875,50.8025,52.1,53.6425,0.7987499999999983,-6.708750000000002
104,Equatorial Guinea,64.4,64.54,62.48,55.02,52.05,65.58,64.58,63.26,57.71,54.12,66.762,64.60900000000001,64.044,60.396,56.194,-2.3619999999999948,-10.567999999999998
105,Bouvet Island,64.07,64.23,64.33,64.4,64.34,60.54,60.64,60.7,60.75,60.73,57.00599999999999,57.056,57.06999999999999,57.093999999999994,57.117999999999995,7.064,0.11200000000000188
106,Ghana,61.05,62.64,63.02,59.55,59.4,60.64,61.33,61.58,58.99,58.93,60.237,60.016999999999996,60.149,58.431000000000004,58.468,0.8129999999999953,-1.7689999999999984
