sciname,iucn_sid,am_sid,area_iucn,area_am,dist_align,area_ratio,spp_group_text,reviewed,occurcells,n_spp,quad,common,name
Favia laxa,133392,URM-Cn-5543,19181489.8,11285903.2,78.204,58.837,Corals,FALSE,65,394,q1,Null,Favia laxa
Acropora teres,133393,URM-Cn-4842,11530765.5,8658104.6,53.963,75.087,Corals,FALSE,24,394,q3,Null,Acropora teres
Porites porites,133395,URM-Cn-6073,4807270.9,2959806.1,62.898,61.569,Corals,FALSE,25,394,q3,Club Tip Finger Coral,Club Tip Finger Coral
Acropora desalwii,133396,URM-Cn-4737,8403044.1,2970144,91.509,35.346,Corals,FALSE,6,394,q2,Null,Acropora desalwii
Pavona varians,133398,URM-Cn-4994,29698165,16262006.6,84.184,54.758,Corals,FALSE,198,394,q1,Null,Pavona varians
Eusmilia fastigiata,133400,URM-Cn-5815,3354896.9,2095556.8,80.642,62.463,Corals,FALSE,82,394,q1,Smooth Flower Coral,Smooth Flower Coral
Acropora hoeksemai,133401,URM-Cn-4759,6916504.3,3506476.6,79.649,50.697,Corals,FALSE,7,394,q2,Null,Acropora hoeksemai
Acropora squarrosa,133402,URM-Cn-4833,3962126.7,2171481.5,71.854,54.806,Corals,FALSE,14,394,q1,Null,Acropora squarrosa
Turbinaria stellulata,133403,URM-Cn-5476,23944947.8,6236825.8,91.401,26.047,Corals,FALSE,35,394,q2,Null,Turbinaria stellulata
Caulastrea tumida,133405,SLB-62382,17231675.5,8732604.4,84.953,50.678,Corals,FALSE,15,394,q2,Null,Caulastrea tumida
Psammocora haimeana,133406,URM-Cn-6137,27561073.4,12366131.2,86.36,44.868,Corals,FALSE,51,394,q2,Encrusting Sandpaper Coral,Encrusting Sandpaper Coral
Pocillopora eydouxi,133407,SLB-189370,28959959,129779875,95.727,22.315,Corals,FALSE,153,394,q2,NA,Pocillopora eydouxi
Coscinaraea wellsi,133408,URM-Cn-6130,20651429.6,8052665.6,77.552,38.993,Corals,FALSE,20,394,q2,Null,Coscinaraea wellsi
Montipora verruculosus,133409,URM-Cn-4948,8551432.9,3728935.2,84.338,43.606,Corals,FALSE,10,394,q2,Null,Montipora verruculosus
Pachyseris speciosa,133410,URM-Cn-4978,26642544.7,13297048.4,83.689,49.909,Corals,FALSE,110,394,q2,Null,Pachyseris speciosa
Gyrosmilia interrupta,133412,URM-Cn-5816,3153070.2,2503111.2,51.078,79.386,Corals,FALSE,24,394,q3,Null,Gyrosmilia interrupta
Goniastrea pectinata,133414,URM-Cn-5578,27167556.2,6185208.2,92.118,22.767,Corals,FALSE,54,394,q2,Null,Goniastrea pectinata
Anacropora puertogalerae,133415,URM-Cn-4859,15287872.9,8155007.9,72.258,53.343,Corals,FALSE,28,394,q2,Null,Anacropora puertogalerae
Montipora circumvallata,133416,URM-Cn-4886,1488997.1,815971,76.967,54.8,Corals,FALSE,7,394,q1,Porous Leaf Coral,Porous Leaf Coral
Caulastrea furcata,133417,SLB-62381,19324852.1,11768652.8,66.807,60.899,Corals,FALSE,62,394,q1,Torch Coral,Torch Coral
Lobophyllia hemprichii,133419,URM-Cn-5871,26665477.8,12935541.9,83.274,48.51,Corals,FALSE,129,394,q2,Null,Lobophyllia hemprichii
Montipora grisea,133420,URM-Cn-4906,21469907.4,11498560.9,73.567,53.557,Corals,FALSE,50,394,q2,Null,Montipora grisea
Montipora capricornis,133422,URM-Cn-4884,15959945.2,11910168.1,57.864,74.625,Corals,FALSE,29,394,q3,Null,Montipora capricornis
Fungia horrida,133423,URM-Cn-5764,24915147.6,5225195.9,89.418,20.972,Corals,FALSE,33,394,q2,Null,Fungia horrida
Coscinaraea columna,133428,URM-Cn-6122,27608274.8,14492324,83.356,52.493,Corals,FALSE,102,394,q2,Null,Coscinaraea columna
Echinopora horrida,133429,URM-Cn-5526,16525016.5,5908504.9,82.868,35.755,Corals,FALSE,41,394,q2,Null,Echinopora horrida
Acropora spicifera,133432,URM-Cn-4832,15886456.3,9737908.2,69.313,61.297,Corals,FALSE,72,394,q1,Null,Acropora spicifera
Montipora crassituberculata,133433,URM-Cn-4889,17786489,9346950.2,81.707,52.551,Corals,FALSE,30,394,q2,Null,Montipora crassituberculata
Seriatopora dendritica,133435,URM-Cn-5988,8898427.8,4306999.2,78.002,48.402,Corals,FALSE,5,394,q2,NA,Seriatopora dendritica
Fungia moluccensis,133437,URM-Cn-5765,18954801.1,6737668.6,72.03,35.546,Corals,FALSE,20,394,q2,Null,Fungia moluccensis
Agaricia tenuifolia,133439,SLB-61834,1770639.9,2285969.3,74.438,77.457,Corals,FALSE,53,394,q1,Thin Leaf Lettuce Coral,Thin Leaf Lettuce Coral
Platygyra pini,133440,URM-Cn-5614,25200263.3,6250828.4,95.264,24.805,Corals,FALSE,39,394,q2,Null,Platygyra pini
Oxypora lacera,133442,URM-Cn-5948,24872735.5,6595164.5,87.313,26.516,Corals,FALSE,52,394,q2,Null,Oxypora lacera
Montipora australiensis,133443,URM-Cn-4879,17126319,11768082.1,61.173,68.713,Corals,FALSE,40,394,q3,Null,Montipora australiensis
Oculina valenciennesi,133444,URM-Cn-5920,820894.5,1493880.9,27.834,54.95,Corals,FALSE,13,394,q3,Ivory Tree Coral,Ivory Tree Coral
Montipora turtlensis,133450,URM-Cn-4943,12600718,8316206.5,74.785,65.998,Corals,FALSE,19,394,q1,Null,Montipora turtlensis
Montipora danae,133451,URM-Cn-4891,25659496.1,13746971.7,80.473,53.575,Corals,FALSE,64,394,q2,Poker Star Montipora,Poker Star Montipora
Mussa angulosa,133457,URM-Cn-5877,3292465.9,1639219.6,87.581,49.787,Corals,FALSE,27,394,q2,Large Flower Coral,Large Flower Coral
Hydnophora microconos,133458,URM-Cn-5823,27303996.6,10115708.3,87.73,37.048,Corals,FALSE,80,394,q2,Null,Hydnophora microconos
Montipora cocosensis,133460,SLB-93100,8192260.2,10243661.7,49.827,79.974,Corals,FALSE,19,394,q3,Null,Montipora cocosensis
Platygyra daedalea,133468,URM-Cn-5612,28674514.3,13096659.1,89.035,45.674,Corals,FALSE,34,394,q2,Brain Coral,Brain Coral
Micromussa amakusensis,133470,SLB-158790,16058692.1,10851304.7,61.298,67.573,Corals,FALSE,15,394,q3,Null,Micromussa amakusensis
Symphyllia agaricia,133474,URM-Cn-5891,23330502.4,13214286,83.155,56.64,Corals,FALSE,83,394,q1,Null,Symphyllia agaricia
Madracis asperula,133476,SLB-61883,1632136.8,2687153.2,19.375,60.739,Corals,FALSE,94,394,q3,Null,Madracis asperula
Hydnophora exesa,133478,URM-Cn-5821,26812296.7,9876921.6,92.557,36.837,Corals,FALSE,68,394,q2,Null,Hydnophora exesa
Acropora hyacinthus,133479,URM-Cn-4762,26331298.7,12106214.7,82.46,45.977,Corals,FALSE,227,394,q2,Brush Coral,Brush Coral
Acropora chesterfieldensis,133481,URM-Cn-4727,8608892.7,2923997.4,78.527,33.965,Corals,FALSE,10,394,q2,Null,Acropora chesterfieldensis
Acropora mirabilis,133483,URM-Cn-4787,12267307.6,10044446.6,57.275,81.88,Corals,FALSE,18,394,q3,Null,Acropora mirabilis
Anomastraea irregularis,133484,SLB-158735,4463658.4,2299966.4,78.868,51.526,Corals,FALSE,17,394,q2,Crisp Pillow Coral,Crisp Pillow Coral
Astreopora randalli,133485,SLB-93759,16259617.6,8633536.5,66.631,53.098,Corals,FALSE,30,394,q2,Null,Astreopora randalli
Pectinia africanus,133488,SLB-62813,2718347.2,952105.1,89.149,35.025,Corals,FALSE,8,394,q2,Null,Pectinia africanus
Montipora delicatula,133489,URM-Cn-4892,7307221.3,3337233,83.882,45.67,Corals,FALSE,9,394,q2,Null,Montipora delicatula
Porites rus,133492,URM-Cn-6075,25228946.7,16337735.7,75.502,64.758,Corals,FALSE,78,394,q1,Encrusting Porites,Encrusting Porites
Platygyra ryukyuensis,133493,SLB-62496,20936581.4,6715320.1,83.462,32.075,Corals,FALSE,32,394,q2,Maze Brain Coral,Maze Brain Coral
Acropora papillare,133494,SLB-93535,9098957.8,3871367.4,86.855,42.547,Corals,FALSE,10,394,q2,Null,Acropora papillare
Galaxea horrescens,133495,SLB-117483,17408641.8,8470952.2,83.712,48.659,Corals,FALSE,10,394,q2,Null,Galaxea horrescens
Caulastrea echinulata,133497,SLB-62380,11673920.5,8256264.9,69.921,70.724,Corals,FALSE,13,394,q1,Null,Caulastrea echinulata
Turbinaria peltata,133498,URM-Cn-5473,24536072.1,9603620.7,88.175,39.141,Corals,FALSE,48,394,q2,Null,Turbinaria peltata
Acropora kosurini,133500,URM-Cn-4771,3651727.4,2645086.6,45.349,72.434,Corals,FALSE,3,394,q3,Null,Acropora kosurini
Psammocora superficialis,133502,URM-Cn-6142,29050150.9,14883064.8,81.143,51.232,Corals,FALSE,68,394,q2,Null,Psammocora superficialis
Porites furcata,133504,URM-Cn-6055,3467651.3,2093122.7,75.835,60.361,Corals,FALSE,66,394,q1,Branched Finger Coral,Branched Finger Coral
Podabacia motuporensis,133509,URM-Cn-5789,17382053.7,4815578.7,90.688,27.704,Corals,FALSE,4,394,q2,Mushroom Coral,Mushroom Coral
Oculina patagonica,133511,URM-Cn-5916,2503985.8,1369547.6,97.897,54.695,Corals,FALSE,9,394,q2,Null,Oculina patagonica
Acropora anthocercis,133513,URM-Cn-4712,19926438.8,11366419.6,73.641,57.042,Corals,FALSE,83,394,q1,Null,Acropora anthocercis
Favia truncatus,133516,URM-Cn-5556,17299186.8,10441379.8,78.787,60.358,Corals,FALSE,43,394,q1,Null,Favia truncatus
Stephanocoenia intersepta,133521,URM-Cn-5006,3527875.8,5557789.2,52.927,63.476,Corals,FALSE,25,394,q3,Null,Stephanocoenia intersepta
Helioseris cucullata,133522,URM-Cn-4959,3462092.9,2339933.5,71.073,67.587,Corals,FALSE,19,394,q1,Null,Helioseris cucullata
Montipora monasteriata,133525,URM-Cn-4920,25564172,14549078.2,84.65,56.912,Corals,FALSE,68,394,q1,Null,Montipora monasteriata
Mussismilia harttii,133527,URM-Cn-5879,688544.6,260656,90.787,37.856,Corals,FALSE,9,394,q2,Null,Mussismilia harttii
Blastomussa merleti,133528,URM-Cn-5859,19388122,12635962.8,81.281,65.174,Corals,FALSE,45,394,q1,Null,Blastomussa merleti
Stylophora subseriata,133530,SLB-117551,16789909.1,12578054.3,58.534,74.914,Corals,FALSE,22,394,q3,Club Finger Coral,Club Finger Coral
Acropora verweyi,133532,URM-Cn-4851,22201465,12636811,80.396,56.919,Corals,FALSE,38,394,q1,Null,Acropora verweyi
Pocillopora zelli,133534,URM-Cn-5986,5481286.9,2159967.3,61.838,39.406,Corals,FALSE,4,394,q4,Null,Pocillopora zelli
Agaricia agaricites,133535,URM-Cn-4950,4151615.3,3665614.7,79.527,88.294,Corals,FALSE,136,394,q1,Purple Lettuce Coral,Purple Lettuce Coral
Herpolitha limax,133538,SLB-62658,26502038.4,6286432.4,87.695,23.721,Corals,FALSE,48,394,q2,Striate Boomerang Coral,Striate Boomerang Coral
Porites brighami,133543,SLB-158796,587095.8,152986,68.855,26.058,Corals,FALSE,11,394,q2,Null,Porites brighami
Paraclavarina triangularis,133545,SLB-62704,13368834.3,5179362.3,72.086,38.742,Corals,FALSE,3,394,q2,Null,Paraclavarina triangularis
Acropora yongei,133547,URM-Cn-4855,19677208.6,10790659.6,74.361,54.838,Corals,FALSE,118,394,q1,Null,Acropora yongei
Stylocoeniella armata,133548,URM-Cn-5007,22698673.7,14020944.6,75.326,61.77,Corals,FALSE,40,394,q1,Thorn Coral,Thorn Coral
Lobophyllia corymbosa,133551,URM-Cn-5865,25942969.7,13052558.8,83.364,50.313,Corals,FALSE,64,394,q2,Brain Root Coral,Brain Root Coral
Montipora spumosa,133556,URM-Cn-4935,25448232.8,12713929.3,81.313,49.96,Corals,FALSE,67,394,q2,Null,Montipora spumosa
Acanthastrea brevis,133557,SLB-158238,14313208,9611389.3,63.162,67.15,Corals,FALSE,20,394,q1,Starry Cup Coral,Starry Cup Coral
Goniastrea palauensis,133560,URM-Cn-5577,22371381.3,11841030,81.426,52.929,Corals,FALSE,48,394,q2,Null,Goniastrea palauensis
Montipora peltiformis,133563,URM-Cn-4927,21870535.7,13404608.1,79.322,61.291,Corals,FALSE,56,394,q1,Null,Montipora peltiformis
Isophyllastrea rigida,133564,URM-Cn-5863,3327084.3,1220564.9,86.097,36.686,Corals,FALSE,27,394,q2,NA,Isophyllastrea rigida
Scolymia australis,133566,URM-Cn-5886,11288944.1,5910677.2,58.297,52.358,Corals,TRUE,27,394,q4,Null,Scolymia australis
Favia favus,133569,URM-Cn-5538,28461691.4,15081507.3,88.43,52.989,Corals,FALSE,76,394,q2,Head Coral,Head Coral
Psammocora profundacella,133570,URM-Cn-6140,27393335.2,14380207.9,82.493,52.495,Corals,FALSE,55,394,q2,Null,Psammocora profundacella
Platygyra carnosus,133571,URM-Cn-5609,10310004.5,3813101.5,75.676,36.984,Corals,FALSE,5,394,q2,Null,Platygyra carnosus
Porites pukoensis,133574,SLB-158797,28740,5877327.5,39.968,0.489,Corals,FALSE,8,394,q4,Null,Porites pukoensis
Cladocora arbuscula,133575,SLB-61985,3596682.1,2675740.9,70.37,74.395,Corals,TRUE,31,394,q1,Tube Coral,Tube Coral
Pavona diffluens,133581,URM-Cn-4985,2630322,1321229.8,92.948,50.231,Corals,FALSE,14,394,q2,Null,Pavona diffluens
Oxypora crassispinosa,133582,SLB-62826,12551617.5,1891394.3,92.629,15.069,Corals,FALSE,3,394,q2,Porous Lettucw Coral,Porous Lettucw Coral
Porites divaricata,133584,SLB-158799,3306939.8,1666799.3,69.484,50.403,Corals,FALSE,15,394,q2,Null,Porites divaricata
Sandalolitha dentata,133587,URM-Cn-5794,19021026.8,5743950.1,79.567,30.198,Corals,FALSE,5,394,q2,Null,Sandalolitha dentata
Psammocora explanulata,133589,URM-Cn-6136,22388109.7,11368502.2,73.958,50.779,Corals,FALSE,27,394,q2,Null,Psammocora explanulata
Siderastrea savignyana,133590,URM-Cn-6147,15178244,10971471.1,55.301,72.284,Corals,FALSE,46,394,q3,African Pillow Coral,African Pillow Coral
Isophyllia sinuosa,133591,URM-Cn-5864,3321113.1,1220564.9,86.324,36.752,Corals,FALSE,28,394,q2,Sinuous Cactus Coral,Sinuous Cactus Coral
Acropora exquisita,133592,URM-Cn-4747,16412909.8,7398198.7,85.725,45.075,Corals,FALSE,20,394,q2,Null,Acropora exquisita
Millepora platyphylla,133595,W-Hyd-210730,27126890.9,12507879.7,75.17,46.109,Corals,FALSE,34,394,q2,Wello Fire Coral,Wello Fire Coral
Cantharellus doederleini,133597,URM-Cn-5746,1316408.5,1929694.9,43.807,68.218,Corals,FALSE,11,394,q3,Null,Cantharellus doederleini
Montipora undata,133599,URM-Cn-4944,21734569.6,11763470.1,79.64,54.123,Corals,FALSE,77,394,q2,Null,Montipora undata
Acropora arabensis,133604,URM-Cn-4713,683424.5,2179691.5,56.816,31.354,Corals,FALSE,18,394,q4,Null,Acropora arabensis
Symphyllia recta,133606,URM-Cn-5895,23665248.7,12407498.3,85.989,52.429,Corals,FALSE,107,394,q2,Null,Symphyllia recta
Goniopora minor,133607,URM-Cn-6020,25939757.7,1920980.3,99.682,7.406,Corals,FALSE,3,394,q2,Null,Goniopora minor
Madracis senaria,133611,URM-Cn-5972,3067778.8,1178075.4,87.689,38.402,Corals,FALSE,20,394,q2,Null,Madracis senaria
Porites solida,133613,URM-Cn-6077,27451990.3,17259171,77.842,62.87,Corals,FALSE,55,394,q1,Boulder Coral,Boulder Coral
Seriatopora guttatus,133614,SLB-62852,12065677.8,9929483.2,58.035,82.295,Corals,FALSE,14,394,q3,Bush Coral,Bush Coral
Lobophyllia diminuta,133619,URM-Cn-5868,13039349.8,9224287.9,54.662,70.742,Corals,FALSE,26,394,q3,Null,Lobophyllia diminuta
Acropora valenciennesi,133621,URM-Cn-4849,24537007.7,11754977.1,87.966,47.907,Corals,FALSE,55,394,q2,Null,Acropora valenciennesi
Montipora capitata,133622,URM-Cn-4883,14454266.2,11513320.7,53.651,79.653,Corals,FALSE,25,394,q3,Null,Montipora capitata
Erythrastrea flabellata,133631,URM-Cn-5534,738164.9,1038768,60.582,71.062,Corals,FALSE,5,394,q3,Null,Erythrastrea flabellata
Turbinaria mesenterina,133633,URM-Cn-5471,28235179.9,10098760.1,92.962,35.767,Corals,FALSE,47,394,q2,Null,Turbinaria mesenterina
Goniastrea retiformis,133634,URM-Cn-5580,25557997,7835919.5,90.189,30.659,Corals,FALSE,63,394,q2,Null,Goniastrea retiformis
Leptoseris gardineri,133636,URM-Cn-4964,17725636.8,10990461.6,70.971,62.003,Corals,FALSE,23,394,q1,Null,Leptoseris gardineri
Pocillopora indiania,133637,URM-Cn-5980,2247633.8,926648.4,76.399,41.228,Corals,FALSE,5,394,q2,Null,Pocillopora indiania
Favia maritima,133638,URM-Cn-5546,19897071.2,5915638,86.374,29.731,Corals,FALSE,23,394,q2,Null,Favia maritima
Acropora pichoni,133639,URM-Cn-4806,9568008.4,8485938.4,54.593,88.691,Corals,FALSE,15,394,q3,Null,Acropora pichoni
Acanthastrea hemprichii,133642,URM-Cn-5848,16340548,10963518.4,69.746,67.094,Corals,FALSE,41,394,q1,Hemprich' Brain Coral,Hemprich' Brain Coral
Porites somaliensis,133645,SLB-184819,1495018,8847786.2,34.557,16.897,Corals,FALSE,16,394,q4,Null,Porites somaliensis
Montipora verrucosa,133646,URM-Cn-4947,27670054.3,19189071.3,79.089,69.35,Corals,FALSE,133,394,q1,Null,Montipora verrucosa
Acropora polystoma,133647,URM-Cn-4809,20518851.2,9515981.6,79.138,46.377,Corals,FALSE,29,394,q2,Null,Acropora polystoma
Cyphastrea microphthalma,133648,URM-Cn-5514,28017443.8,9626080.1,91.326,34.357,Corals,FALSE,60,394,q2,Null,Cyphastrea microphthalma
Acropora abrotanoides,133649,SLB-93391,25901857.7,14571960.4,80.491,56.258,Corals,FALSE,66,394,q1,Null,Acropora abrotanoides
Platygyra lamellina,133651,URM-Cn-5613,24930363.6,5481043.2,90.795,21.985,Corals,FALSE,43,394,q2,Null,Platygyra lamellina
Isopora cylindrica,133653,URM-Cn-4732,2819288.8,4231191,25.677,66.631,Corals,FALSE,9,394,q3,NA,Isopora cylindrica
Favites chinensis,133654,URM-Cn-5561,23021421.7,7205978.2,88.68,31.301,Corals,FALSE,33,394,q2,Null,Favites chinensis
Acropora bifurcata,133658,SLB-93454,11493920.3,8479241,59.242,73.772,Corals,FALSE,17,394,q3,Plating Acropora Coral,Plating Acropora Coral
Stylophora kuehlmanni,133659,URM-Cn-5991,1306199.7,833725.5,74.079,63.828,Corals,FALSE,7,394,q1,Null,Stylophora kuehlmanni
Isopora cuneata,133660,SLB-184810,20417657,10646700.1,74.713,52.145,Corals,FALSE,52,394,q2,Null,Isopora cuneata
Galaxea fascicularis,133662,URM-Cn-5905,27208084,9580460.1,89.066,35.212,Corals,TRUE,142,394,q2,Null,Galaxea fascicularis
Goniastrea thecata,133665,URM-Cn-5581,1026952.9,286202.2,97.019,27.869,Corals,FALSE,4,394,q2,Null,Goniastrea thecata
Acropora millepora,133666,URM-Cn-4785,21530253.5,8398109.3,90.162,39.006,Corals,FALSE,31,394,q2,Plate Acropora,Plate Acropora
Goniopora stokesi,133668,URM-Cn-6030,23710596.7,5013228.4,92.137,21.143,Corals,FALSE,8,394,q2,Daisy Coral,Daisy Coral
Acropora efflorescens,133672,SLB-158629,11279554.4,4574516.8,57.184,40.556,Corals,FALSE,4,394,q4,Null,Acropora efflorescens
Fungia paumotensis,133673,URM-Cn-5766,23763664.8,10685983.4,87.801,44.968,Corals,FALSE,79,394,q2,Elongate Mushroom Coral,Elongate Mushroom Coral
Montipora mollis,133674,URM-Cn-4919,23564630.3,14260712.7,80.088,60.517,Corals,FALSE,67,394,q1,Null,Montipora mollis
Psammocora vaughani,133676,URM-Cn-6143,5181505.1,3467875.1,22.641,66.928,Corals,FALSE,4,394,q3,Null,Psammocora vaughani
Heteropsammia cochlea,133679,URM-Cn-5428,22983980.6,10826368.9,85.437,47.104,Corals,FALSE,65,394,q2,Null,Heteropsammia cochlea
Porites astreoides,133680,URM-Cn-6038,5682820,3486224.3,48.295,61.347,Corals,FALSE,12,394,q3,Mustard Hill Coral,Mustard Hill Coral
Acropora subulata,133682,SLB-93593,20768843.3,9943811.7,79.898,47.879,Corals,FALSE,36,394,q2,Null,Acropora subulata
Stylophora pistillata,133685,URM-Cn-5995,26714431.2,13954228.3,83.017,52.235,Corals,FALSE,155,394,q2,Smooth Cauliflower Coral,Smooth Cauliflower Coral
Leptoseris cailleti,133686,URM-Cn-4961,3280265.6,1271905.8,95.367,38.774,Corals,FALSE,15,394,q2,Lace Lettuce Coral,Lace Lettuce Coral
Cyphastrea japonica,133690,URM-Cn-5513,10187830.5,1678089.5,97.641,16.472,Corals,FALSE,3,394,q2,Lesser Knob Coral,Lesser Knob Coral
Sandalolitha robusta,133693,URM-Cn-5795,15251688.5,7309842.9,82.091,47.928,Corals,FALSE,43,394,q2,Irregular Boomerang Coral,Irregular Boomerang Coral
Turbinaria reniformis,133697,URM-Cn-5475,26653036.7,6201364.1,89.891,23.267,Corals,FALSE,40,394,q2,Yellow Scroll Coral,Yellow Scroll Coral
Pavona duerdeni,133702,URM-Cn-4987,29290834.1,13998903.6,81.868,47.793,Corals,FALSE,93,394,q2,Null,Pavona duerdeni
Orcaella heinsohni,136315,ITS-Mam-771132,2214437.6,1979522.4,67.265,89.392,Marine Mammals,FALSE,37,105,q1,Australian Snubfin Dolphin,Australian Snubfin Dolphin
Cheilinus trilobatus,154623,Fis-31462,25703652,13431634,74.162,52.256,Wrasses,FALSE,224,472,q2,Tripletail Wrasse,Tripletail Wrasse
Canthigaster inframacula,154630,Fis-133923,337153.3,1595887.1,52.883,21.126,Pufferfish,FALSE,6,113,q4,Null,Canthigaster inframacula
Parenchelyurus hepburni,154643,Fis-25990,16091842.2,7889039.3,64.869,49.025,Combtooth Blennies,FALSE,46,269,q2,Hepburn's Blenny,Hepburn's Blenny
Scarus prasiognathos,154676,Fis-21841,12667230.5,9664018.9,60.306,76.291,Wrasses,FALSE,40,472,q3,Singapore Parrotfish,Singapore Parrotfish
Scarus festivus,154677,Fis-31417,11333896.3,11118101.5,35.764,98.096,Wrasses,FALSE,39,472,q3,Festive Parrotfish,Festive Parrotfish
Dentex barnardi,154680,Fis-32647,435123.6,145624.9,97.966,33.467,Seabreams/Porgies,FALSE,13,92,q2,Barnard's Dentex,Barnard's Dentex
Xyrichtys martinicensis,154697,Fis-30092,4209832.7,2392797.2,80.902,56.838,Wrasses,FALSE,33,472,q1,Rosy Razorfish,Rosy Razorfish
Pseudolabrus luculentus,154701,Fis-28631,496237.5,104456.8,79.656,21.05,Wrasses,TRUE,22,472,q2,Orange Wrasse,Orange Wrasse
Scarus dubius,154706,Fis-21839,682219.1,276575.5,38.173,40.541,Wrasses,FALSE,8,472,q4,Regal Parrot,Regal Parrot
Suezichthys bifurcatus,154720,Fis-145572,424930.1,279315.7,77.061,65.732,Wrasses,FALSE,10,472,q1,Striped Trawl Wrasse,Striped Trawl Wrasse
Pagrus auratus,154734,Fis-26110,4044636.7,14511745.8,82.525,27.871,Seabreams/Porgies,FALSE,417,92,q2,Silver Seabream,Silver Seabream
Hypleurochilus bananensis,154753,Fis-49046,266681.8,2328379.1,46.613,11.454,Combtooth Blennies,FALSE,9,269,q4,Null,Hypleurochilus bananensis
Chromis alpha,154760,Fis-31484,31237412.2,7367489.6,86.092,23.585,Damselfish,FALSE,52,48,q2,Yellow-Speckled Chromis,Yellow-Speckled Chromis
Siphonognathus beddomei,154780,Fis-28645,998167.8,578445.4,92.2,57.951,Wrasses,FALSE,26,472,q1,Pencil Weed Whiting,Pencil Weed Whiting
Hemitaurichthys thompsoni,154788,Fis-31453,3562906.9,3830549,19.605,93.013,Butterflyfish,TRUE,37,116,q3,Thompson's Butterflyfish,Thompson's Butterflyfish
Apolemichthys kingi,154809,Fis-58059,282074.7,420420.8,34.335,67.093,Angelfish,FALSE,7,72,q3,Tiger Angelfish,Tiger Angelfish
Amphiprion sandaracinos,154812,Fis-31865,8039188.5,6897417.6,51.62,85.797,Damselfish,FALSE,39,48,q3,Yellow Clownfish,Yellow Clownfish
Acanthurus gahhm,154818,Fis-51787,1159196.8,224894.6,97.616,19.401,Surgeons/Tangs/Unicornfish,TRUE,11,77,q2,Black Surgeonfish,Black Surgeonfish
Parablennius yatabei,154829,Fis-128246,1684288.2,3222741.6,35.509,52.263,Combtooth Blennies,FALSE,24,269,q4,Null,Parablennius yatabei
Chromis punctipinnis,154831,Fis-24501,218389.4,125940.7,89.589,57.668,Damselfish,FALSE,22,48,q1,Blacksmith,Blacksmith
Dotalabrus alleni,154841,Fis-113731,279645.8,673608.5,53.898,41.515,Wrasses,FALSE,16,472,q4,Little Rainbow Wrasse,Little Rainbow Wrasse
Chromis pembae,154856,Fis-35167,2524078.2,2513695.5,46.716,99.589,Damselfish,FALSE,18,48,q3,Pemba Chromis,Pemba Chromis
Cirrhilabrus lineatus,154891,Fis-35454,1072794.3,1671039.5,45.237,64.199,Wrasses,FALSE,13,472,q3,Purplelined Wrasse,Purplelined Wrasse
Halichoeres ornatissimus,154904,Fis-26248,629167.3,8339107.3,17.162,7.545,Wrasses,FALSE,106,472,q4,Ornamented Wrasse,Ornamented Wrasse
Teixeirichthys jordani,154915,Fis-27908,2103077.7,11185075.7,48.516,18.803,Damselfish,FALSE,36,48,q4,Jordan's Damsel,Jordan's Damsel
Chrysiptera flavipinnis,154920,Fis-28282,1314470.6,7219122.5,73.068,18.208,Damselfish,FALSE,35,48,q2,Yellowfin Damselfish,Yellowfin Damselfish
Entomacrodus macrospilus,154927,Fis-146748,173154.2,535593.4,22.815,32.329,Combtooth Blennies,FALSE,7,269,q4,Bigspot Rockskipper,Bigspot Rockskipper
Scomberomorus queenslandicus,154946,Fis-29512,3934971.3,3426495.7,68.969,87.078,Tunas/Billfish,FALSE,187,59,q1,Queensland School Mackerel,Queensland School Mackerel
Ecsenius trilineatus,154947,Fis-35292,3526424.2,5495322,43.955,64.171,Combtooth Blennies,FALSE,24,269,q3,Three-Lined Blenny,Three-Lined Blenny
Thalassoma lucasanum,154954,Fis-28998,1719622.4,1003247.4,78.667,58.341,Wrasses,TRUE,121,472,q1,Cortez Rainbow Wrasse,Cortez Rainbow Wrasse
Scarus oviceps,154960,Fis-31423,16590927.3,10702585.7,52.035,64.509,Wrasses,FALSE,113,472,q3,Dark Capped Parrotfish,Dark Capped Parrotfish
Scarus viridifucatus,154971,Fis-26763,5714307.6,9083161.9,40.597,62.911,Wrasses,FALSE,19,472,q3,Roundhead Parrotfish,Roundhead Parrotfish
Parablennius zvonimiri,154972,Fis-59731,1612952.6,1241085.7,65.498,76.945,Combtooth Blennies,FALSE,30,269,q1,Null,Parablennius zvonimiri
Coris caudimacula,155006,Fis-26809,5604825,10043812,39.361,55.804,Wrasses,FALSE,67,472,q3,Spottail Coris,Spottail Coris
Parablennius parvicornis,155013,Fis-49130,1970452.1,301916.9,56.833,15.322,Combtooth Blennies,FALSE,16,269,q4,Rock-Pool Blenny,Rock-Pool Blenny
Labroides phthirophagus,155017,Fis-32519,682219.1,167586.5,88.335,24.565,Wrasses,FALSE,13,472,q2,Hawaiian Cleaner Wrasse,Hawaiian Cleaner Wrasse
Salarias ceramensis,155029,Fis-32512,7704818.8,5642218.2,60.512,73.23,Combtooth Blennies,FALSE,24,269,q3,Seram Blenny,Seram Blenny
Cirrhilabrus rubripinnis,155032,Fis-35462,2028167.7,2172472,36.616,93.358,Wrasses,FALSE,5,472,q3,Redfin Wrasse,Redfin Wrasse
