"code","Country/EEZ","Index","FIS","FP","MAR","AO","NP","CS","CP","LIV","LE","ECO","TR","ICO","SP","LSP","CW","HAB","BD","SPP","rgn_nam_2013","hdi","year","year","gdp_USD","year","gdp_adj","pop"
123,"Dominica",51,11,11,NA,99,NA,27,7,77,84,91,55,68,36,5,69,60,73,86,"Dominica",0.745,2013,2011,484137160,2012,12642.96494,71401
124,"Barbados",54,36,36,NA,98,0,27,28,72,73,74,100,58,31,4,61,82,83,84,"Barbados",0.825,2013,2011,3.685e+09,2012,21986.1574934525,281804
125,"Grenada",54,31,31,NA,98,NA,38,38,100,85,71,27,56,28,0,72,57,72,88,"Grenada",0.77,2013,2011,816054406.7,2012,10826.72649,105074
126,"Trinidad and Tobago",77,25,25,NA,97,95,86,80,88,85,81,99,54,47,41,66,90,87,84,"Trinidad and Tobago",0.76,2013,2011,22483115868,2012,26646.72504,1333082
127,"Saint Vincent and the Grenadines",49,5,5,NA,99,0,NA,73,32,27,22,46,63,32,0,65,92,91,90,"Saint Vincent and the Grenadines",0.733,2013,2011,687993792.6,2012,10987.15396,109357
129,"Panama",61,94,92,6,98,33,25,30,100,100,100,53,56,56,55,48,63,75,87,"Panama",0.78,2013,2011,26778100000,2012,16615.30673,3740282
130,"Costa Rica",62,58,50,6,98,20,48,64,51,76,100,50,57,63,69,70,85,84,83,"Costa Rica",0.773,2013,2011,40869768515,2012,12943.43682,4737680
131,"Nicaragua",50,54,35,15,99,18,6,9,59,79,100,38,53,75,96,71,60,73,85,"Nicaragua",0.599,2013,2011,9316755540,2012,4071.983302,5905146
132,"Colombia",60,28,22,4,99,58,50,61,59,80,100,20,54,66,78,69,60,71,83,"Colombia",0.719,2013,2011,3.33372e+11,2012,10586.86264,47078792
133,"Honduras",56,36,14,8,99,9,61,40,88,94,100,43,55,64,72,52,80,82,85,"Honduras",0.632,2013,2011,17426574426,2012,4193.606363,7776669
134,"El Salvador",58,49,47,0,99,47,44,44,42,71,100,23,53,77,100,55,71,77,84,"El Salvador",0.68,2013,2011,23054100000,2012,7069.294962,6256242
135,"Mexico",71,50,47,19,98,94,64,35,45,73,100,70,54,77,100,68,82,82,82,"Mexico",0.775,2013,2011,1.15334e+12,2012,16676.23492,119361233
136,"Guatemala",71,86,65,33,99,21,89,89,100,100,100,24,59,78,98,58,96,88,80,"Guatemala",0.581,2013,2011,46900000257,2012,5100.069272,14706578
137,"Ecuador",72,45,73,100,99,99,53,57,100,100,100,14,56,78,100,66,77,78,78,"Ecuador",0.724,2013,2011,65945432310,2012,9737.682093,15246481
138,"Peru",62,74,73,27,99,100,39,39,80,63,45,20,60,66,71,53,65,71,77,"Peru",0.741,2013,2011,1.76925e+11,2012,10940.05596,29614887
139,"Venezuela",55,44,39,3,98,0,68,39,71,83,96,21,51,67,83,53,77,78,80,"Venezuela Bolivarian Republic of",0.748,2013,2011,3.16482e+11,2012,13474.59498,29500625
140,"Guadeloupe and Martinique",55,4,4,0,98,0,100,33,98,65,32,11,58,75,92,69,96,91,85,"Guadeloupe and Martinique",0.893,2013,2011,18763481397.7127,2012,15935.888856132,NA
141,"Faeroe Islands",67,66,74,100,97,16,NA,NA,86,88,91,48,65,32,0,87,95,89,84,"Faeroe Islands",0.901,2013,2011,2745780553.12219,2012,36813.330213,49551
143,"Iceland",74,59,59,63,96,98,NA,54,85,64,43,62,63,60,58,91,73,79,85,"Iceland",0.906,2013,2011,14026172280,2012,37533.24695,319014
144,"Jan Mayen",71,64,64,NA,96,NA,NA,NA,86,88,90,49,93,47,0,85,52,71,89,"Jan Mayen",0.955,2013,2011,366386484908.522,2012,36813.330213,NA
145,"Greenland",85,68,68,NA,97,NA,NA,97,100,100,100,48,73,86,100,89,94,93,91,"Greenland",0.901,2013,2011,1936240939.14442,2012,36813.330213,56905
146,"Pitcairn",72,53,53,NA,100,NA,NA,100,89,81,73,33,69,34,0,85,100,92,83,"Pitcairn",0.875,2013,2011,370186873.393333,2012,4771.6306925,48
147,"French Polynesia",75,60,60,50,99,99,92,90,100,73,46,33,64,32,0,77,98,90,83,"French Polynesia",0.893,2013,NA,NA,2012,4771.6306925,270874
148,"Line Group",72,NA,NA,NA,99,NA,NA,100,78,72,66,70,NA,0,0,74,96,86,76,"Line Group",0.629,2013,2011,204048754.525,2012,8438.753764,NA
149,"Jarvis Island",83,53,53,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,100,100,74,93,87,81,"Jarvis Island",0.937,2013,2011,204048754.525,2012,8438.753764,NA
150,"Palmyra Atoll",78,52,52,NA,100,NA,NA,78,NA,NA,NA,NA,56,78,100,74,94,88,81,"Palmyra Atoll",0.937,2013,2011,204048754.525,2012,8438.753764,NA
151,"American Samoa",66,56,56,NA,100,NA,94,29,99,85,71,30,60,56,52,57,98,88,79,"American Samoa",0.937,2013,2011,370186873.393333,2012,4771.6306925,55274
152,"Samoa",60,51,51,0,100,NA,89,33,3,42,80,32,62,32,1,76,96,89,82,"Samoa",0.702,2013,2011,640876953.3,2012,4517.329201,187429
153,"Cook Islands",58,47,47,0,100,35,51,85,34,45,56,31,62,32,2,74,80,78,77,"Cook Islands",0.919,2013,2011,370186873.393333,2012,4771.6306925,NA
154,"Niue",63,58,58,NA,100,NA,51,80,80,56,32,32,61,31,0,82,80,78,76,"Niue",0.919,2013,2011,370186873.393333,2012,4771.6306925,NA
155,"Tonga",58,67,67,0,99,0,67,29,100,100,100,30,63,35,7,70,87,83,79,"Tonga",0.71,2013,2011,433879294.5,2012,5025.932184,104554
156,"Tokelau",68,58,58,NA,100,NA,56,94,89,80,72,34,57,28,0,81,78,81,85,"Tokelau",0.919,2013,2011,370186873.393333,2012,4771.6306925,1411
157,"Phoenix Group",87,NA,NA,NA,99,NA,NA,100,78,72,66,71,NA,100,100,78,96,88,80,"Phoenix Group",0.629,2013,2011,204048754.525,2012,8438.753764,NA
158,"Howland Island and Baker Island",93,92,92,NA,100,NA,NA,100,NA,NA,NA,NA,NA,100,100,75,97,90,83,"Howland Island and Baker Island",0.937,2013,2011,204048754.525,2012,8438.753764,NA
159,"Johnston Atoll",78,53,53,NA,100,NA,NA,78,NA,NA,NA,NA,55,78,100,74,94,89,84,"Johnston Atoll",0.937,2013,2011,204048754.525,2012,8438.753764,NA
161,"Wallis and Futuna",77,96,96,NA,99,NA,NA,100,89,81,72,32,76,38,0,75,100,92,84,"Wallis and Futuna",0.893,2013,2011,370186873.393333,2012,4771.6306925,NA
162,"New Zealand",81,49,61,100,98,100,82,66,100,100,100,71,62,70,78,79,85,85,84,"New Zealand",0.919,2013,2011,1.59706e+11,2012,31499.40797,4405200
163,"United States",72,53,51,11,95,60,67,80,55,78,100,52,63,81,100,79,74,80,85,"United States",0.937,2013,2011,1.49913e+13,2012,49965.27075,311587816
164,"Belize",66,34,45,50,99,50,40,10,100,100,100,99,51,74,98,69,61,75,89,"Belize",0.702,2013,2011,1447500000,2012,7948.75998700014,316280
166,"Jamaica",58,3,3,0,99,15,68,27,69,78,87,76,56,78,100,56,71,77,84,"Jamaica",0.73,2013,2011,14439331395,NA,NA,2706500
167,"Guyana",57,3,3,1,99,NA,71,71,40,69,98,31,52,26,1,63,87,82,78,"Guyana",0.636,2013,2011,2576731667,2012,3399.249182,790882
168,"Suriname",70,7,7,0,98,NA,100,100,96,85,74,9,53,76,100,67,100,89,78,"Suriname",0.684,2013,2011,4304467564,2012,8857.641023,529761
