region_name,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Montserrat,121,70.16,70.7,84.89,84.87,84.84,75.84,100,64.62,79.8,88.08,96.36,28.56,28.56,0,77.5,38.75,0,86.22,63.94
Tonga,155,69.72,39.68,76.85,87.08,97.31,97.73,99.97,67.12,99.58,99.79,100,31.45,31.37,0.09,66.52,47.87,29.22,50.73,75.85
Nicaragua,131,69.58,92.05,84.74,87.14,89.54,94.62,97.51,62.85,100,78.8,57.59,53.25,25.55,0.56,68.14,84.07,100,1.18,71.99
Jan Mayen,144,69.51,NA,76.54,58.2,39.86,62.22,NA,85.16,81.55,83.65,85.75,9.39,9.39,NA,75.96,87.98,100,100,NA
Belize,164,69.49,83.99,85.35,74.14,62.93,61.78,96.48,65.77,100,100,100,59.29,33.03,2.7,71.76,85.88,100,70.82,23
Ukraine,75,69.48,30.14,87.59,70.3,53.01,61.88,61.88,65.43,100,80.7,61.39,35.18,34.12,0.07,100,100,100,93.54,96.82
Greece,80,69.47,57.49,68.28,63.94,59.6,92.01,63.59,60.99,63.02,61.38,59.75,38.07,51.74,61.28,78.64,88.52,98.41,66.57,88.46
Peru,138,69.47,84.98,72.39,72.46,72.53,58.13,75.87,59.37,43.18,60.68,78.17,69.72,67.14,2.04,65.07,55.95,46.84,98.19,61.89
Vietnam,207,69.46,80.89,85.75,80.17,74.58,75.25,73.67,45.28,85.23,73.84,62.46,57.91,43.31,6.65,66.07,74.49,82.92,65.58,82.11
Kuwait,51,69.36,91.75,84.75,86.15,87.54,99.38,95.82,70.5,100,100,100,42.98,42.97,0.01,61.27,36.14,11.02,NA,1.56
Maldives,39,69.35,90.39,80.82,82.74,84.66,93.91,70.79,24.52,39.64,69.82,100,91.45,91.45,0,66.44,35.42,4.39,45.67,88.82
Dominican Republic,115,69.3,66.59,81.4,77.94,74.48,88.39,84.23,46.76,98.19,82.35,66.5,48.14,47.33,0.39,70.17,85.08,100,25.81,88.51
