"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"South Africa",102,69.73,77.49,82.19,88.67,95.16,99.63,99.82,55.92,100,100,100,35.79,34.3,0.05,70.69,81.9,93.11,18.84,40.73
"Japan",210,69.58,90.95,86.37,91.08,95.78,99.95,95.32,60.08,100,78.16,56.33,39.84,34.42,20.26,64.86,82.43,100,44.17,19.26
"Marshall Islands",11,69.46,54.33,79.33,88.16,96.99,97.8,86.49,34.06,41.38,59.12,76.87,78.73,78.73,0,66.9,53.07,39.24,57.89,84.95
"Bermuda",108,69.32,98.9,78.86,84.22,89.59,55.11,98.49,52.02,54.71,59.64,64.57,57,57,0,68.07,35.35,2.63,,83.16
"Mauritius",37,69.02,66.34,84.38,89.78,95.18,91.01,90.66,65.04,71.27,72.25,73.24,76.41,73.66,0.03,59.25,35.41,11.57,56.34,49.67
"Sweden",222,68.9,95.16,87.67,90.71,93.75,60.78,61.68,64.95,100,100,100,69.37,69.37,69.62,90.89,84.58,78.28,24.95,36.79
"Bulgaria",71,68.78,74.74,89.02,94.51,100,,,40.96,100,71.53,43.06,56.64,78.69,100,62.47,81.23,100,81.56,27
"Fiji",18,68.75,52.83,81.51,84.07,86.62,98.55,67.81,71.21,80.94,67.3,53.67,41.74,41.74,0,57.29,61.5,65.71,42.77,99.72
"Oman",48,68.66,89.04,85.75,91.83,97.92,99.23,90.97,75.36,100,100,100,60.94,60.8,0,61.18,38.82,16.46,11.05,29.55
"Gilbert Islands (Kiribati)",212,68.58,54.46,78.6,86.36,94.11,99.49,87.37,28.01,100,89.43,78.85,67.06,67.04,0,64.45,32.22,0,55.89,85.55
"Cape Verde",56,68.47,51,82.02,91.01,100,,,59.1,100,100,100,43.05,43.05,0,68.6,35.15,1.69,,100
"Falkland Islands",95,68.42,95.7,88.35,94.17,100,,,98.96,17.87,40.72,63.56,66.36,66.36,0,67.13,34.96,2.79,,48.04
"Djibouti",46,68.4,53.23,88.87,93.35,97.83,99.2,91.17,61.63,100,96.7,93.4,42.2,42.2,0,69.61,34.8,0,,43.35
"Jordan",215,68.39,58.75,90.1,89.18,88.26,91.45,88.23,62.62,100,87.78,75.57,29.1,29.1,0,78.56,39.28,0,,69.07
"Gambia",65,68.32,58.27,81.77,83.15,84.54,82.14,81.86,49.14,100,100,100,54.46,52.48,0.01,78.55,57.71,36.88,,50.09
"Singapore",208,68.22,100,86.79,83.3,79.81,82.1,82.97,39.47,100,96.36,92.71,29.01,96.94,100,74.99,37.89,0.79,8.17,55.06
"Jersey",227,68.01,94.62,84.66,82.47,80.29,55.01,54.9,54.25,88.52,87.13,85.75,64.26,64.26,0,75.95,79.67,83.39,,39.73
"Russia",73,67.95,86.31,84.41,92.21,100,90.55,100,65.85,100,93.11,86.22,39.19,39.09,0.32,76.71,84.77,92.82,16.78,10.8
"Philippines",15,67.92,62.8,86.83,84.94,83.04,92.22,68.62,51.57,46.64,45.09,43.55,69.31,57.85,4.88,64.3,50.01,35.73,68.63,97.46
"British Virgin Islands",117,67.91,84.02,88.5,87.79,87.09,57.06,73.37,58.52,82.21,75.38,68.55,30.14,30.14,0,75.74,44.95,14.16,,100
"Ecuador",137,67.73,69.29,80.02,87.85,95.68,81.92,78.3,63.76,100,100,100,58.03,35.65,16.82,64.36,82.18,100,59.03,19.37
"Canary Islands",58,67.55,81.14,83.58,79.38,75.19,53.93,54.03,68.88,49.47,60.62,71.77,50.79,50.79,0,63.09,81.54,100,,77.61
"Argentina",172,67.36,82.43,80.35,90.17,100,,,76.25,100,91.4,82.8,42.32,42.32,0,65.49,82.75,100,45.45,28.08
"Tanzania",202,67.33,66.8,86.05,81.33,76.61,68.32,84.32,48.19,100,100,100,42.68,42.44,0.04,63.58,81.79,100,74.23,25.84
"Gibraltar",60,67.28,80.19,76.67,78.09,79.52,,,19.32,51.41,75.7,100,49.2,49.2,0,60.35,80.17,100,,88.26
"Andaman and Nicobar",26,67.15,64.45,85.32,88.13,90.94,96.73,89.44,59.62,92.27,78.04,63.82,30.31,30.31,0,65.22,41.02,16.82,,56.59
"Niue",154,67.14,77.13,79.08,81.51,83.94,85.41,52.56,80.8,33.14,57.38,81.63,52.67,52.67,0,66.19,52.33,38.46,,64.44
"Anguilla",118,67.13,84.06,88.42,87.74,87.05,60.98,73.13,60.97,86.5,62.36,38.22,23.28,23.28,0,81.87,51.68,21.49,,100
"Ireland",181,66.96,96.54,81.59,81.94,82.29,55.64,55.61,60.06,100,79.55,59.09,76.6,68.23,4.61,63.45,81.7,99.95,65.96,24.36
"Brunei",247,66.92,100,87.11,90.6,94.1,97.36,87.18,55.82,76.62,78.85,81.07,30.16,25.12,0.1,71.81,49,26.2,,18.33
