"","rgn_id","taxa_code","taxa_group","family","production_year","tonnes","rgn_name","sustainability_year","sust_coeff","potential_mar_tonnes","gentry_year"
"94",6,"Whiteleg shrimp_5","SH","Penaeidae",2016,11.16,"Vanuatu",2021,0.883116883116883,88850.304,2019
"95",6,"Whiteleg shrimp_5","SH","Penaeidae",2017,10,"Vanuatu",2021,0.883116883116883,88850.304,2019
"96",6,"Whiteleg shrimp_5","SH","Penaeidae",2018,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"97",6,"Whiteleg shrimp_5","SH","Penaeidae",2019,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"98",7,"Elkhorn sea moss_6","AL","Algae",2002,0.0600000000000001,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"99",7,"Elkhorn sea moss_6","AL","Algae",2003,4,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"100",7,"Elkhorn sea moss_6","AL","Algae",2004,17.112,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"101",7,"Elkhorn sea moss_6","AL","Algae",2005,26.088,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"102",7,"Elkhorn sea moss_6","AL","Algae",2006,13.536,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"103",7,"Elkhorn sea moss_6","AL","Algae",2007,8.65600000000001,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"104",7,"Elkhorn sea moss_6","AL","Algae",2008,11.592,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"105",7,"Elkhorn sea moss_6","AL","Algae",2009,40.288,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"106",7,"Elkhorn sea moss_6","AL","Algae",2010,71.0400000000001,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"107",7,"Elkhorn sea moss_6","AL","Algae",2011,72.1760000000001,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"108",7,"Elkhorn sea moss_6","AL","Algae",2012,69.9040000000001,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"109",7,"Elkhorn sea moss_6","AL","Algae",2013,118.12,"Solomon Islands",2021,0.87012987012987,447515.375,2019
"110",7,"Elkhorn sea moss_6","AL","Algae",2014,121.624,"Solomon Islands",2021,0.87012987012987,447515.375,2019
