"rgn_id","habitat","extent","health","trend","rank","status","trend_score"
157,"mangrove",NA,NA,NA,139,NA,NA
157,"seagrass",NA,0.855116269050631,NA,83,NA,NA
158,"mangrove",NA,NA,NA,139,NA,NA
158,"seagrass",NA,0.912847483095417,NA,83,NA,NA
159,"mangrove",NA,NA,NA,139,NA,NA
161,"mangrove",NA,NA,NA,139,NA,NA
161,"seagrass",NA,0.855116269050631,NA,83,NA,NA
162,"mangrove",317.8633,0.935483870967742,-0.004299,139,73.3646299043052,-0.00230650434275322
162,"saltmarsh",181.751917004962,0.5,0,210,73.3646299043052,-0.00230650434275322
163,"mangrove",2406.675301,0.709090909090909,-0.009989,139,65.8562756681296,-0.290494734285701
163,"saltmarsh",15747,0.5,0,210,65.8562756681296,-0.290494734285701
163,"seagrass",17906,1,-1,83,65.8562756681296,-0.290494734285701
164,"mangrove",576.345,0.968152866242038,-0.005782,139,34.431872230758,0.829816234273919
164,"seagrass",4739.13,0.217264308537159,1,83,34.431872230758,0.829816234273919
166,"mangrove",101.29705,0.8,-0.004079,139,96.0765067764247,-0.004079
166,"seagrass",695.108,1,NA,83,96.0765067764247,-0.004079
167,"mangrove",234.904,0.879120879120879,-0.001701,139,87.9120879120879,-0.001701
168,"mangrove",751.868,0.994782608695652,-0.005998,139,99.4782608695652,-0.005998
169,"mangrove",902.941,1,-0.004027,139,100,-0.004027
171,"mangrove",10523.54276,0.952380952380952,-0.002594,139,95.3496206057524,-0.0259535748792249
171,"seagrass",422.653,1,-1,83,95.3496206057524,-0.0259535748792249
172,"mangrove",NA,NA,NA,139,NA,NA
173,"mangrove",NA,NA,NA,139,NA,NA
174,"mangrove",NA,NA,NA,139,NA,NA
175,"mangrove",NA,NA,NA,139,100,NA
175,"seagrass",747.503,1,NA,83,100,NA
176,"mangrove",NA,NA,NA,139,100,0.5
176,"saltmarsh",283.45,1,0.5,210,100,0.5
177,"mangrove",NA,NA,NA,139,100,0.5
177,"saltmarsh",112.3,1,0.5,210,100,0.5
177,"seagrass",NA,1,1,83,100,0.5
178,"mangrove",NA,NA,NA,139,56.4030338541264,0
178,"saltmarsh",7.05,0.5,0,210,56.4030338541264,0
178,"seagrass",2.61975,1,NA,83,56.4030338541264,0
179,"mangrove",NA,NA,NA,139,58.40934041293,0.168186808258601
179,"saltmarsh",1147.1,0.5,0,210,58.40934041293,0.168186808258601
179,"seagrass",586.825,1,1,83,58.40934041293,0.168186808258601
180,"mangrove",NA,NA,NA,139,50,0
180,"saltmarsh",314.508957489879,0.5,0,210,50,0
181,"mangrove",NA,NA,NA,139,50,0
181,"saltmarsh",56.34,0.5,0,210,50,0
182,"mangrove",NA,NA,NA,139,50,NA
182,"seagrass",509.105,0.5,NA,83,50,NA
183,"mangrove",NA,NA,NA,139,NA,NA
184,"mangrove",NA,NA,NA,139,70.0718406036514,0.5
184,"saltmarsh",349,1,0.5,210,70.0718406036514,0.5
184,"seagrass",2921.02,0.610246840188935,NA,83,70.0718406036514,0.5
185,"mangrove",NA,NA,NA,139,NA,NA
186,"mangrove",NA,NA,NA,139,NA,NA
187,"mangrove",NA,NA,NA,139,NA,NA
188,"mangrove",NA,NA,NA,139,NA,NA
189,"mangrove",NA,NA,NA,139,NA,NA
190,"mangrove",4.366251,1,0,139,85.6183860038982,0
190,"seagrass",985.027,0.855116269050631,NA,83,85.6183860038982,0
191,"mangrove",106.536651,0.690909090909091,0,139,84.4496976653908,0
191,"seagrass",2580.46,0.855116269050631,NA,83,84.4496976653908,0
192,"mangrove",NA,NA,NA,139,85.5116269050631,NA
192,"seagrass",69.8601,0.855116269050631,NA,83,85.5116269050631,NA
193,"mangrove",3473.793,0.760869565217391,-0.000356,139,40.2264908978779,-0.000356
193,"seagrass",14515.2,0.258539503138599,NA,83,40.2264908978779,-0.000356
194,"mangrove",2477.414,0.922459893048128,-0.000506,139,42.2376010326171,-0.000506
194,"seagrass",12663.9,0.258539503138599,NA,83,42.2376010326171,-0.000506
195,"mangrove",20.958,0.327814569536424,-0.011131,139,32.7814569536424,-0.011131
196,"mangrove",7043.6384,0.997997997997998,-0.000569,139,99.8856043213638,-0.000569
196,"seagrass",8847.78,1,NA,83,99.8856043213638,-0.000569
197,"mangrove",2012.8448,0.919117647058823,-0.004101,139,91.9117647058823,-0.004101
198,"mangrove",1364.01936,0.68649885583524,-0.001942,139,68.649885583524,-0.001942
199,"mangrove",186.0025,0.306122448979592,-0.009385,139,30.6122448979592,-0.009385
200,"mangrove",294.2853,0.622641509433962,-0.012353,139,82.2727072135866,-0.012353
200,"seagrass",556.261,1,NA,83,82.2727072135866,-0.012353
202,"mangrove",942.2379,0.822368421052632,-0.002543,139,82.3198598427237,-0.0278291266973156
202,"seagrass",41.0428,0.855116269050631,-1,83,82.3198598427237,-0.0278291266973156
203,"mangrove",3289.53701,0.884152358397474,-0.018159,139,87.4943636453771,-0.018159
203,"seagrass",2558.62,0.855116269050631,NA,83,87.4943636453771,-0.018159
204,"mangrove",4411.6613,1,-0.000141,139,100,-0.000141
205,"mangrove",5093.6661,0.912691269126913,-0.065579,139,90.2688381701302,-0.065579
