"targets","layer","layer_old","name","description","citation_nature2012","citation_plos2013","fld_value","units","gapfilling","X2013a_source","children","children_notes","disaggregation.function","updated","still.to.do.with.2013a.file.","dir_2012a","fn_2012a","dir_2013a","fn_2013a","dir_2014a","fn_2014a","src_2014a","ingest","dir_whence_2013a","whence_2013a","clip_n_ship_disag","fn_nature2012","id_num","id_chr","category","year","value_num","value_chr"
"LE","le_rev_cur_base_value","le_rev_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_cur_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_cur_base_value.csv",,,,TRUE,,,"population_inland25km",,,,,,,
"LE","le_rev_ref_adj_value","le_rev_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_ref_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_ref_adj_value.csv",,,,TRUE,,,"population_inland25km",,,,,,,
"LE","le_rev_ref_base_value","le_rev_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_ref_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_ref_base_value.csv",,,,TRUE,,,"population_inland25km",,,,,,,
"LE","le_revenue_adj","le_revenue_adj","Modeled Livelihoods & Economies data","adjusted revenue","6F",,"usd","USD",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_revenue_adj.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_revenue_adj.csv",,,,TRUE,,,"population_inland25km",,,,,,,
"LE","le_wage_cur_adj_value","le_wage_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_cur_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_cur_adj_value.csv",,,,TRUE,,,"equal",,,,,,,
"LE","le_wage_cur_base_value","le_wage_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_cur_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_cur_base_value.csv",,,,TRUE,,,"equal",,,,,,,
"LE","le_wage_ref_adj_value","le_wage_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_ref_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_ref_adj_value.csv",,,,TRUE,,,"equal",,,,,,,
"LE","le_wage_ref_base_value","le_wage_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_wage_ref_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_ref_base_value.csv",,,,TRUE,,,"equal",,,,,,,
"LE","le_workforcesize_adj","le_workforcesize_adj","Modeled Livelihoods & Economies data","adjusted workforce size","6F",,"jobs","jobs",,,,,,,,"ohiprep:Global/WorldBank-Statistics_v2012/data","cntry_wb_tlf_2012a_ratio-gapfilled.csv","ohiprep:Global/WorldBank-Statistics_v2012/data","cntry_wb_tlf_2013a_ratio-gapfilled.csv","ohiprep:Global/WorldBank-Statistics_v2012/data","cntry_wb_tlf_2014a_ratio-gapfilled.csv","Y: done",TRUE,,,"population_inland25km",,,,,,,
"LE","liv_jobs","cnky_liv_jobs","Jobs in marine industries","Statistics on job counts for five marine industries","6F","5.35-5.39","jobs","jobs",,"2012a","coastal_pop",,"NA (updated data)","N",,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_jobs.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_jobs.csv","ohiprep:Global/NCEAS-Livelihoods_v2014/data/","cntry_jobs_2014a.csv","Y: done",,,,"(not ingested; see column X)","liv_jobs.csv",,"country_id","sector","year","jobs",
"LE","liv_wages","cnky_liv_wages","Wages adjusted by sector","Wages adjusted by sector","6F","5.48","USD","$US",,"new","parent",,"NA (updated data)","U","like nature2012 file, 2012a and 2013a files are not temporally or spatially gapfilled (but it has been passed through na.omit) Assuming that any gapfilling occurs later. 2012a has 34 unique rgn_id's and 2013a has 39.","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_wages.csv","neptune_data:model/GL-NBER-OWW_v2008/data","rgn_nber_oww_2013_nofill.csv",,,"N",,,,"(not ingested; see column X)","liv_wages.csv",,"country_id","sector","year","usd",
"LE","liv_wages_adj_lilo","cnky_liv_wages_adj_lilo","Wages with adjustment","Wages with adjustment","6F","5.48","adj","value",,"2012a","parent",,"NA (updated data)","U",,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_wages_adj_lilo.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","liv_wages_adj_lilo.csv",,,,,,,"(not ingested; see column X)","liv_wages_adj_lilo.csv",,"country_id","whence","year","adj",
"LE pressures","le_sector_weight","rnk_le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","6F",,"weight","value",,"2012a","parent","this layer is borrowed directly from nature2012 and simply disaggregated","NA","N",,"neptune_data:model/GL-NCEAS-Pressures_v2013a/data","le_sector_weight_disaggregateNature2012b.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","le_sector_weight_disaggregateNature2012b.csv",,,,TRUE,"exclude",,"equal","le_sector_weight.csv","region_id",,"sector",,"weight",
"LIV ECO","le_popn","rny_le_popn","Total population by subregion","Population data from The World Bank",,"5.71","count","count",,,,,,,,"neptune_data:model/GL-WorldBank-Statistics_v2012/data","rgn_wb_pop_2013a_updated.csv","neptune_data:model/GL-WorldBank-Statistics_v2012/data","rgn_wb_pop_2013a_updated.csv",,,,TRUE,,,"(occurs earlier?)",,,,,,,
"LIV ECO","liveco_status","rn_liveco_status","Modeled livelihoods and economies status","Modeled livelihoods and economies status based on new approach",,"5.41-5.46","value","status score",,,,,,,,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_status_2012a.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_status_2013a.csv",,,,TRUE,,,"(occurs earlier?)",,,,,,,
"LIV ECO","liveco_trend","rn_liveco_trend","Modeled livelihoods and economies trend","Modeled livelihoods and economies trend based on new approach",,"5.41-5.46","value","trend score",,,,,,,,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_trend_2012a.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_trend_2013a.csv",,,,TRUE,,,"(occurs earlier?)",,,,,,,
"LSP","lsp_prot_area_inland1km","rny_lsp_prot_area_inland1km","Coastal protected areas inland 1km","Coastal protected areas inland to 1km","6H","5.4","area_km2","km^2",,"2012a","new",,,"U",,"neptune_data:model/GL-WDPA-MPA_v2013/data","lsp_prot_area_inland1km.csv","neptune_data:model/GL-WDPA-MPA_v2013/data","lsp_prot_area_inland1km.csv","ohiprep:Global/WDPA-MPA_v2014/data","lsp_protarea_inland1km.csv","Y: done",TRUE,,,"area_inland_1km","lsp_prot_area_inland1km.csv","region_id",,,"year","km2",
