region_id,region_name,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index,LE,LIV,LSP,MAR,NP,SP,SPP,TR
192,Iraq,65.07181818181819,89.58454545454545,98.27545454545455,95.94,65.9290909090909,68.22636363636363,61.13363636363636,61.13363636363636,96.42,64.62,67.44909090909091,84.11272727272727,100,0,0,66.99818181818182,32.31090909090909,82.75272727272727,15.14
206,Malaysia,68.10181818181817,78.60909090909091,82.3509090909091,78.61363636363636,66.33272727272727,69.35181818181817,56.21545454545455,52.304545454545455,72.87,60.03909090909091,67.35545454545455,78.87636363636364,88.39999999999999,49.35818181818182,1.3890909090909092,68.49545454545455,54.698181818181816,84.3490909090909,45.17363636363636
39,Maldives,71.07545454545455,82.48454545454545,93.91,70.79,28.53090909090909,39.198181818181816,78.30181818181818,78.30181818181818,84.62818181818182,63.13363636363636,67.16636363636364,69.5990909090909,100,5.451818181818182,0,56.262727272727275,34.29545454545455,80.33818181818182,86.40545454545455
1,Cocos Islands,73.32818181818182,81.7,92.51,70.07,73.01272727272728,99.97454545454545,14.99090909090909,14.99090909090909,89.45818181818181,65.7890909090909,66.88636363636364,96.16545454545454,92.35727272727273,0,0,66.51727272727273,32.89545454545455,73.94181818181818,67.68636363636364
194,Guinea,79.98454545454545,75.73363636363636,96.59454545454545,98.35363636363637,44.35818181818182,97.4809090909091,13.660909090909092,13.660909090909092,76.5109090909091,62.903636363636366,66.81454545454545,79.70181818181818,61.92454545454545,79.15,0,94.71818181818182,71.02636363636364,74.95818181818181,14.01909090909091
166,Jamaica,53.406363636363636,74.22181818181818,78.97,99.53181818181818,48.96272727272727,84.00363636363636,33.20545454545454,33.17909090909091,67.35363636363637,64.72181818181818,66.81363636363636,75.99000000000001,67.97636363636363,93.65818181818182,0.015454545454545455,56.42545454545454,79.19,81.09,68.24727272727273
153,Cook Islands,79.14727272727274,79.72909090909091,85.7,74.62,83.63545454545455,53.804545454545455,31.775454545454547,31.77090909090909,85.09,61.834545454545456,66.80090909090909,43.845454545454544,33.88636363636363,54.90909090909091,0.038181818181818185,61.85090909090909,58.37090909090909,74.37,69.32636363636364
122,Saint Lucia,71.14090909090909,86.88545454545455,73.8,98.29,56.91,68.10636363636364,37.165454545454544,37.10818181818182,89.70818181818181,73.4809090909091,66.61090909090909,56.775454545454544,45.443636363636365,19.03,0.042727272727272725,40.025454545454544,46.25545454545455,84.06363636363636,98.89727272727272
84,Algeria,74.50818181818182,72.29454545454546,99,65.39,45.35,99.97,62.199090909090906,61.67363636363636,80.10545454545455,64.35363636363637,66.60272727272728,99.98454545454545,100,10.932727272727272,3.6409090909090907,88.32181818181819,37.64454545454546,64.48363636363636,21.853636363636365
10,Nauru,71.84272727272727,85.74181818181818,95.45,NA,20.03818181818182,68.22090909090909,97.49545454545455,97.49545454545455,97.54181818181819,63.67090909090909,66.57909090909091,70.80545454545454,73.39,0,NA,NA,31.836363636363636,73.94545454545455,59.41727272727273
131,Nicaragua,90.72909090909091,86.69181818181818,94.45636363636363,97.46636363636364,62.10818181818182,100,53.93272727272727,32.82,89.29272727272728,62.67545454545454,66.56545454545454,79.07909090909091,58.149090909090916,100,0.58818181818181825,14.247272727272728,81.33909090909091,84.08909090909091,26.716363636363635
76,Turkey,83.36181818181818,69.66363636363637,69.63,80.38,60.82727272727273,100,55.99090909090909,56.01,63.38090909090909,61.03272727272727,66.549090909090907,100,100,6.37,55.99454545454545,98.93636363636364,33.7,75.94636363636364,12.98090909090909
214,Egypt,68.86636363636364,76.49909090909091,89.74090909090908,71.96,52.11727272727273,99.97,31.943636363636365,36.11727272727273,77.09,63.088181818181816,66.53727272727272,98.01181818181819,96.06363636363636,69.5109090909091,35.92,73.12636363636364,66.299090909090907,75.91181818181818,32.63909090909091
17,Papua New Guinea,81.39272727272727,84.65,82.35818181818182,73.10818181818182,63.25272727272728,98.61545454545454,88.049090909090907,88.0390909090909,85.94272727272727,59.21272727272727,66.46454545454546,99.30727272727273,100,8.077272727272728,0,54.93727272727273,33.64636363636364,83.35454545454546,3.9563636363636365
37,Mauritius,77.05090909090909,78.96272727272728,86.72,99.71,65.88727272727273,66.14454545454545,41.59909090909091,38.11636363636364,82.05636363636363,56.99727272727273,66.46363636363637,67.94363636363637,69.75090909090909,10.59909090909091,0.10636363636363637,58.31181818181818,33.79818181818182,75.86818181818181,58.13
12,Wake Island,NA,73.32636363636364,73.56,NA,76.41454545454546,63.34818181818182,21.504545454545454,21.504545454545454,73.56,66.3709090909091,66.12545454545455,68.36909090909091,73.39,100,NA,66.51727272727273,83.18454545454546,73.09181818181818,NA
175,Denmark,79.51454545454546,71.10636363636364,61.79,70.07,62.40363636363636,65.21909090909091,33.53454545454545,38.20727272727273,58.18727272727273,85.53090909090909,66.09272727272727,65.78545454545454,66.36090909090909,100,88.88545454545455,93.51,92.76545454545455,84.02909090909091,25.767272727272726
108,Bermuda,88.51272727272728,79.63545454545455,51.18,98.26,53.03363636363636,52.21909090909091,59.92,59.92,87.30454545454546,62.55090909090909,66.06545454545454,58.58272727272727,64.95454545454545,2.49,0,63.42909090909091,32.52,71.96363636363637,75.5709090909091
136,Guatemala,64.99727272727273,72.11818181818182,99.79636363636364,92.93727272727273,40.875454545454545,100,37.38,27.304545454545455,67.16545454545455,67.50909090909092,65.99,100,100,88.26454545454546,8.143636363636363,66.82,77.88727272727273,77.0690909090909,17.17909090909091
205,Myanmar,80.4009090909091,86.23818181818181,92.01272727272728,88.79454545454546,47.31181818181818,91.9590909090909,29.12818181818182,27.900909090909092,87.86181818181818,55.70545454545454,65.96000000000001,95.97727272727272,100,11.464545454545455,0.9263636363636364,87.27909090909091,33.585454545454546,84.61181818181818,20.10181818181818
159,Johnston Atoll,NA,80.13909090909091,73.56,NA,80.83909090909091,NA,11.458181818181817,11.458181818181817,86.56,66.3709090909091,65.83636363636364,NA,NA,100,NA,NA,83.18454545454546,73.72,NA
47,Yemen,94.27636363636364,86.38181818181818,71.27272727272727,68.38090909090909,52.65909090909091,94.64454545454545,53.417272727272724,53.404545454545456,91.01272727272728,58.64727272727273,65.76363636363637,97.32363636363637,100,0.04,0.007272727272727273,97.27,29.34090909090909,81.75,7.331818181818182
191,Iran,72.77727272727273,76.45727272727272,71.25090909090909,79.48727272727272,69.13090909090909,57.42363636363636,47.72909090909091,45.42545454545455,69.32727272727273,59.664545454545454,65.7090909090909,78.70909090909092,100,62.44,8.94909090909091,88.5190909090909,61.05090909090909,83.58272727272727,14.296363636363637
198,Gabon,73.56545454545454,76.81818181818181,82.07272727272726,81.02727272727273,64.19909090909091,76.59363636363636,40.413636363636364,40.413636363636364,77.52818181818182,69.51727272727273,65.70272727272727,57.224545454545456,37.85545454545454,88.74545454545455,0,95.74636363636364,79.1290909090909,76.10818181818182,6.8136363636363635
148,Line Islands (Kiribati),48.198181818181816,86.51363636363637,99,NA,80.49454545454546,63.34818181818182,50.988181818181815,50.988181818181815,99.31818181818181,63.12,65.66636363636364,68.36909090909091,73.39,0,0,66.51727272727273,31.56,73.70727272727272,59.35181818181818
15,Philippines,80.20636363636363,82.81636363636363,93.11181818181818,75.05818181818182,49.93272727272728,45.07727272727273,24.97909090909091,21.331818181818182,80.35181818181817,60.376363636363635,65.65272727272728,44.11181818181818,43.14636363636364,42.18636363636364,10.43909090909091,65.69727272727273,51.28181818181818,85.28181818181818,92.97363636363636
196,Nigeria,83.46181818181817,83.7109090909091,92.14818181818181,96.78454545454545,36.086363636363636,51.24818181818182,47.264545454545456,47.26,92.00272727272727,67.77636363636364,65.58636363636364,75.62363636363636,100,8.981818181818182,0.012727272727272728,91.3409090909091,38.38,75.42090909090909,11.065454545454545
81,Cyprus,75.32545454545455,66.43909090909091,71.65,74.2,60.654545454545456,64.62818181818182,60.00909090909091,47.25363636363636,71.79,62.89454545454545,65.53909090909092,63.34818181818182,62.06818181818181,51.06181818181818,36.223636363636366,76.72909090909091,56.97818181818182,61.089090909090906,62.81454545454545
41,Mozambique,67.24272727272728,75.84545454545454,73.34363636363636,80.14090909090909,54.06727272727273,100,40.87,40.802727272727275,67.18272727272728,62.75272727272727,65.46454545454546,100,100,89.77181818181818,0.007272727272727273,63.79727272727273,76.2609090909091,84.50636363636363,23.134545454545453
112,Cuba,80.16909090909091,78.28545454545454,62.51090909090909,91.75090909090909,61.334545454545456,86.24727272727273,48.266363636363636,38.61454545454546,73.57181818181819,66.67636363636363,65.42272727272727,91.42363636363636,96.61,99.39454545454545,0.2963636363636364,48.36,83.03454545454545,82.99636363636364,18.726363636363637
219,Saint Pierre and Miquelon,89.32818181818182,70.02272727272728,NA,68.69,83.94545454545455,58.62,81.81363636363636,81.81363636363636,61.78545454545455,63.02181818181818,65.33818181818181,79.26,99.9,11.211818181818183,NA,43.585454545454546,37.11454545454546,78.25909090909092,34.276363636363634
178,Poland,78.36727272727273,65.61090909090909,56.38,30.8,58.9,100,86.56727272727272,86.56727272727272,39.57,91.68181818181819,64.88818181818182,81.38454545454546,62.760000000000005,100,0,77.05727272727273,95.8409090909091,91.65,17.992727272727272
168,Suriname,68.61,80.50636363636363,71.54636363636364,82.89272727272727,78.2909090909091,71.18,48.946363636363635,48.904545454545456,81.33272727272727,70.87545454545455,64.84636363636363,83.82363636363635,96.47636363636364,100,0,37.404545454545456,85.43818181818182,79.68363636363637,11.052727272727273
115,Dominican Republic,64.50363636363636,77.63454545454546,88.49272727272728,84.35272727272728,49.50363636363636,97.40363636363637,45.766363636363636,45.10363636363636,74.57545454545455,67.17,64.75727272727272,81.95636363636363,66.5,100,0.46636363636363637,32.13454545454545,83.58636363636364,80.69272727272727,40.30090909090909
42,Madagascar,57.91,81.81727272727272,88.94818181818182,94.84818181818181,56.10636363636364,100,50.86181818181818,49.08272727272727,81.10636363636364,58.519090909090906,64.75181818181818,81.74818181818182,63.49636363636363,40.693636363636365,0.17363636363636364,53.67818181818182,49.60545454545454,82.53,33.77181818181818
197,Cameroon,70.60363636363637,72.28272727272727,73.39090909090909,76.14363636363636,31.373636363636365,98.79272727272728,50.46818181818182,50.46818181818182,67.0109090909091,66.45727272727272,64.75181818181818,75.74090909090908,52.68727272727273,88.32181818181819,0,98.27090909090909,77.39,77.55454545454545,21.863636363636363
106,Ghana,70.63363636363637,77.97363636363636,99.98363636363636,99.87454545454545,34.31,97.55181818181818,49.47181818181818,49.47,81.57363636363637,68.40272727272728,64.71363636363637,93.94,90.31818181818181,2.9636363636363634,0.006363636363636364,70.6290909090909,35.68454545454545,74.3709090909091,14.639090909090909
62,Morocco,79.30181818181818,67.61727272727272,100,33.23,55.4,99.97,16.065454545454546,16.05,59.336363636363636,66.22181818181818,64.53181818181818,99.98454545454545,100,71.66181818181818,0.04090909090909091,70.74,68.94181818181818,75.89545454545454,54.07090909090909
101,Namibia,28.903636363636362,72.06454545454545,100,60.34,81.14545454545454,47.332727272727276,21.89090909090909,21.85909090909091,69.09545454545454,59.29090909090909,64.41090909090909,73.66181818181818,100,100,0.01,83.66,79.64545454545454,75.03181818181818,42.82181818181818
9,Micronesia,68.99454545454546,83.21818181818182,92.75727272727273,71.75909090909092,58.68818181818182,45.125454545454545,80.35818181818182,80.35818181818182,91.00363636363636,59.07636363636364,64.40272727272728,59.25272727272727,73.39,3.24,0,40.22272727272727,31.15818181818182,75.42909090909092,57.596363636363634
207,Vietnam,82.32181818181819,77.79818181818182,74.99454545454546,73.42454545454545,45.86636363636364,84.02818181818182,58.414545454545454,46.01090909090909,70.37818181818182,64.94090909090909,64.35181818181817,73.42636363636363,62.82181818181818,82.69454545454545,9.866363636363637,61.75636363636364,73.81727272727272,85.21636363636364,34.11545454545455
59,Belgium,78.66545454545455,71.78363636363636,61.53,86.71,46.49272727272727,100,60.27818181818182,60.27818181818182,59.67909090909091,71.3490909090909,64.21909090909091,79.3409090909091,58.67272727272727,98.049090909090907,0,48.34909090909091,84.69818181818182,83.88909090909091,24.354545454545455
216,Indonesia,93.97181818181818,80.32636363636364,80.79727272727273,73.88181818181819,57.012727272727275,95.54727272727273,41.93,29.324545454545454,76.52272727272728,63.27363636363636,64.11909090909091,69.66545454545455,43.79272727272728,56.04272727272727,4.784545454545454,67.50454545454545,59.65909090909091,84.12818181818182,29.046363636363637
210,Japan,69.90545454545455,74.90181818181819,71.86636363636363,62.805454545454545,64.37636363636364,100,45.64636363636364,42.7,70.45,61.72727272727273,64.09636363636363,75.56818181818181,51.12727272727273,98.23727272727272,29.91090909090909,80.59818181818181,79.98181818181818,79.35363636363637,18.254545454545454
154,Niue,81.88363636363636,82.24909090909091,85.71,NA,77.3709090909091,31.73,21.223636363636363,21.223636363636363,90.25363636363636,61.74818181818182,64.06727272727272,55.38272727272727,79.03454545454545,0,0,74.8490909090909,30.874545454545455,74.24636363636364,67.06454545454545
102,South Africa,49.96090909090909,71.43818181818182,57.75454545454545,69.3490909090909,59.99454545454545,97.28909090909092,71.17181818181818,70.46272727272728,65.47636363636364,66.41909090909091,64.02090909090909,98.64454545454545,100,80.04454545454546,0.1090909090909091,60.266363636363636,73.23272727272727,77.4,29.118181818181817
14,Taiwan,58.02363636363636,76.78090909090909,85.84272727272727,70.98272727272727,48.82818181818182,93.01727272727273,35.904545454545456,58.944545454545455,67.84545454545454,65.7909090909091,64.00090909090909,90.71818181818182,88.41818181818182,22.275454545454544,85.51363636363637,82.46272727272728,44.03181818181818,85.72,23.38818181818182
86,Saint Helena,94.89545454545454,87.51818181818182,NA,98.86,84.98,23.362727272727273,37.38363636363636,37.38363636363636,99.22272727272728,62.096363636363634,63.96909090909091,41.75,60.13636363636363,0,0,NA,31.048181818181817,75.81363636363636,35.31818181818182
134,El Salvador,83.77636363636364,82.19909090909091,80.0109090909091,79.71545454545455,50.556363636363635,100,20.400909090909092,19.37727272727273,85.14818181818183,58.68818181818182,63.836363636363636,70.4290909090909,40.86727272727273,91.48727272727272,0.3281818181818182,67.47909090909091,75.08818181818182,79.25,29.72909090909091
138,Peru,78.96818181818182,73.54272727272728,58.14181818181818,75.80090909090909,59.18090909090909,41.99636363636364,64.58,62.42545454545455,75.20272727272727,63.57454545454545,63.74272727272727,59.89818181818182,77.7909090909091,48.35454545454545,1.5318181818181817,98.07000000000001,55.96272727272727,71.88363636363637,15.443636363636363
71,Bulgaria,60.088181818181816,69.47272727272727,74.62,74.62,51.29090909090909,100,12.912727272727272,25.594545454545454,51.087272727272726,83.80272727272727,63.67363636363636,71.31,42.62,100,87.01,93.32636363636364,91.9009090909091,87.85909090909091,24.5
130,Costa Rica,100,79.91272727272727,64.53454545454545,62.00363636363636,72.4890909090909,98.81363636363636,52.14636363636364,47.61181818181818,83.71909090909091,63.95454545454545,63.65090909090909,74.13636363636364,49.459090909090904,86.44,0.9590909090909091,14.562727272727273,75.19818181818182,76.10818181818182,46.06636363636363
114,Haiti,74.05272727272727,75.14181818181818,67.55272727272727,95.10545454545455,37.54909090909091,93.22454545454545,34.24818181818182,34.24818181818182,69.92999999999999,65.5,63.42090909090909,96.61181818181818,100,66.09818181818181,0,70.85363636363637,65.79727272727273,80.35090909090908,17.291818181818183
40,Sri Lanka,84.17181818181818,85.22454545454545,80.3409090909091,72.35181818181817,58.13636363636363,83.35636363636364,28.28818181818182,27.556363636363635,88.8190909090909,62.14363636363636,63.10636363636364,67.90363636363637,52.46090909090909,13.884545454545455,0.6681818181818182,72.34545454545454,38.013636363636365,81.63,45.016363636363636
177,Netherlands,35.33272727272727,66.78545454545454,62.37,94.21,53.36454545454546,74.19818181818182,23.21727272727273,48.086363636363636,52.74636363636363,72.56636363636363,63.092727272727274,62.07181818181818,49.93636363636364,98.60272727272728,87.01,62.692727272727275,85.58454545454545,80.82727272727273,60.43636363636364
