"targets","layer","layer_old","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"resilience","fishing_v3","fishing_v3","CBD survey: coastal fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_fishing_v3_2013a.csv",TRUE,"fishing_v3.csv","eez2013/layers/fishing_v3.csv"
"resilience","fishing_v3_eez","fishing_v3_eez","CBD survey: ocean fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_fishing_v3_eez_2013a.csv",TRUE,"fishing_v3_eez.csv","eez2013/layers/fishing_v3_eez.csv"
"resilience","habitat","habitat","CBD survey: habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_habitat_2013a.csv",TRUE,"habitat.csv","eez2013/layers/habitat.csv"
"resilience","habitat_combo","habitat_combo","CBD survey: coastal habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_habitat_combo_2013a.csv",TRUE,"habitat_combo.csv","eez2013/layers/habitat_combo.csv"
"resilience","habitat_combo_eez","habitat_combo_eez","CBD survey: ocean habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_habitat_combo_eez_2013a.csv",TRUE,"habitat_combo_eez.csv","eez2013/layers/habitat_combo_eez.csv"
"resilience","li_gci","li_gci","GCI: competitiveness in achieving sustained economic prosperity","Global Competitiveness Index (GCI) scores (score)","score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-WEF-Economics_v2013/data/rgn_wef_gci_2013a_rescaled.csv",TRUE,"li_gci.csv","eez2013/layers/li_gci.csv"
"resilience","li_sector_evenness","li_sector_evenness","Sector evenness as a measure of economic diversity","Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_li_sector_evenness_2013a.csv",TRUE,"li_sector_evenness.csv","eez2013/layers/li_sector_evenness.csv"
"resilience","mariculture","mariculture","CBD survey: mariculture","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_mariculture_2013a.csv",TRUE,"mariculture.csv","eez2013/layers/mariculture.csv"
"resilience","msi_gov","msi_gov"," MSI sustainability and regulations","Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_msi_gov_2013a.csv",TRUE,"msi_gov.csv","eez2013/layers/msi_gov.csv"
"resilience","species_diversity","species_diversity","Ocean ecological integrity","Marine species diversity as a proxy for ecological integrity: ocean","score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-SpeciesDiversity_v2013a/data/rgn_spp_score_2013.csv",TRUE,"species_diversity.csv","eez2013/layers/species_diversity.csv"
"resilience","species_diversity_3nm","species_diversity_3nm","Coastal ecological integrity","Marine species diversity as a proxy for ecological integrity: coastal","score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-SpeciesDiversity_v2013a/data/rgn_spp_score_offshore3nm_2013.csv",TRUE,"species_diversity_3nm.csv","eez2013/layers/species_diversity_3nm.csv"
"resilience","tourism","tourism","CBD survey: tourism","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_tourism_2013a.csv",TRUE,"tourism.csv","eez2013/layers/tourism.csv"
"resilience","water","water","CBD survey: water","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_water_2013a.csv",TRUE,"water.csv","eez2013/layers/water.csv"
"resilience","wgi_all","wgi_all","Strength of governance indicated with the WGI","World Governance Indicators (WGI) six combined scores","score","resilience score","../ohiprep/Global/WorldBank-WGI_v2013/data/rgn_wb_wgi_2013a.csv",TRUE,"wgi_all.csv","eez2013/layers/wgi_all.csv"
"spatial","cntry_georegions","cnk_cntry_georegions","Georegion ids per country, at 3 georegion levels","georegions per country, at 3 georegion levels","georgn_id","georegion id","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-OceanRegions_v2013a/manual_output/cntry_georegions_long_2013b.csv",TRUE,"cntry_georegions.csv","eez2013/layers/cntry_georegions.csv"
"spatial","cntry_rgn","cn_cntry_rgn","Regions per country","regions per country","rgn_id","region id","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-OceanRegions_v2013a/manual_output/cntry_rgn_2013.csv",TRUE,"cntry_rgn.csv","eez2013/layers/cntry_rgn.csv"
"spatial","rgn_area","rn_rgn_area","Region area of total EEZ ocean","region in water area","area_km2","km^2","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-OceanRegions_v2013a/data/rgn_fao_gcs_area.csv",TRUE,"rgn_area.csv","eez2013/layers/rgn_area.csv"
"spatial","rgn_area_inland1km","rn_rgn_area_inland1km","Region area 1 km inland","inland area 1 km from shore","area_km2","km^2","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-OceanRegions_v2013a/data/rgn_area_inland1km.csv",TRUE,"rgn_area_inland1km.csv","eez2013/layers/rgn_area_inland1km.csv"
"spatial","rgn_area_offshore3nm","rn_rgn_area_offshore3nm","Region area offshore 3nm","offshore area 3 nautical miles from shore","area_km2","km^2","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-OceanRegions_v2013a/data/rgn_area_offshore3nm.csv",TRUE,"rgn_area_offshore3nm.csv","eez2013/layers/rgn_area_offshore3nm.csv"
"spatial","rgn_georegion_labels","rtk_rgn_georegion_labels","Georegion labels per region, at 3 georegion levels","georegions per region, at 3 georegion levels","label","label","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-OceanRegions_v2013a/manual_output/rgn_georegions_labels_long_2013b.csv",TRUE,"rgn_georegion_labels.csv","eez2013/layers/rgn_georegion_labels.csv"
"spatial","rgn_georegions","rnk_rgn_georegions","Georegion ids per region, at 3 georegion levels","georegions per region, at 3 georegion levels","georgn_id","georegion id","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-OceanRegions_v2013a/manual_output/rgn_georegions_long_2013b.csv",TRUE,"rgn_georegions.csv","eez2013/layers/rgn_georegions.csv"
"spatial","rgn_global","rnk_rgn_global","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","label","label","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-OceanRegions_v2013a/data/rgn_global.csv",TRUE,"rgn_global.csv","eez2013/layers/rgn_global.csv"
"spatial","rgn_labels","rtk_rgn_labels","regions by type (eez, subocean, unclaimed) and label","regions by type (eez, subocean, unclaimed) and label","label","label","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-OceanRegions_v2013a/data/rgn_labels.csv",TRUE,"rgn_labels.csv","eez2013/layers/rgn_labels.csv"
